"НОМЕР ЗАЯВКИ","СТАТУС","ДАТА РЕГИСТРАЦИИ","ТИП ОБРАЩЕНИЯ","СЕРВИС","КРАТКОЕ ОПИСАНИЕ ПРОБЛЕМЫ","СРОК РЕШЕНИЯ","ПРОСРОЧЕН","ОБЩЕЕ ВРЕМЯ ОБРАБОТКИ (МИН.)","ГРУППА","ВРЕМЯ ОБРАБОТКИ ГРУППОЙ (МИН.)","КОЛ-ВО НАЗНАЧЕНИЙ НА ГРУППУ"
"TT16416036","Закрыта","25.07.2021 3:07:24","Претензия","Контент","Абонент ничего не заказывал","27.07.2021 15:07:24","нет","795","OBO","795","1"
"TT16416038","Закрыта","25.07.2021 3:08:33","Претензия","Контент","Абонент ничего не заказывал","27.07.2021 15:08:33","нет","816","OBO","816","1"
"TT16416046","Закрыта","25.07.2021 3:11:40","Претензия","CCB","Обратная связь на работу оператора КЦ","28.07.2021 3:11:40","нет","7541","Мониторинг","7541","1"
"TT16416055","Закрыта","25.07.2021 3:24:13","Администрирование","Администрирование B2C","Ошибочный наличный платёж","25.07.2021 11:24:13","нет","175","OBO","175","1"
"TT16416058","Закрыта","25.07.2021 3:26:46","Претензия","Технологическая заявка","Поиск сети (покрытие неустойчивое/покрытия нет)","23.11.2021 19:26:46","нет","1416","Technology TT","1416","1"
"TT16416063","Закрыта","25.07.2021 3:30:35","Претензия","Личный кабинет","Проблема в работе ЛК","29.07.2021 3:30:35","нет","3503","OBO","3503","1"
"TT16416067","Закрыта","25.07.2021 3:39:21","Претензия","CCB","Жалоба на сотрудника телемаркетинга","26.07.2021 3:39:21","нет","1403","Technology TT","1403","1"
"TT16416072","Закрыта","25.07.2021 3:42:43","Претензия","Контент","Абонент ничего не заказывал","27.07.2021 15:42:43","нет","768","OBO","768","1"
"TT16416073","Закрыта","25.07.2021 3:43:00","Претензия","CCB","Обратная связь на работу оператора КЦ","28.07.2021 3:43:00","нет","7661","Мониторинг","7661","1"
"TT16416077","Закрыта","25.07.2021 3:49:18","Претензия","Контент","Абонент ничего не заказывал","27.07.2021 15:49:18","нет","757","OBO","757","1"
"TT16416081","Закрыта","25.07.2021 3:51:17","Претензия","Контент","Абонент ничего не заказывал","27.07.2021 15:51:17","нет","774","OBO","774","1"
"TT16416082","Закрыта","25.07.2021 3:52:28","Администрирование","Администрирование B2C","Ошибочный наличный платёж","25.07.2021 11:52:28","нет","150","OBO","150","1"
"TT16416089","Закрыта","25.07.2021 3:59:52","Претензия","Технологическая заявка","Поиск сети (покрытие неустойчивое/покрытия нет)","23.11.2021 19:59:52","нет","1383","Technology TT","1383","1"
"TT16416097","Закрыта","25.07.2021 4:02:50","Претензия","Проблема с SPR","Статус услуги «Временно блокирована»","29.07.2021 4:02:50","нет","2512","Billing Support","1415","1"
"TT16416097","Закрыта","25.07.2021 4:02:50","Претензия","Проблема с SPR","Статус услуги «Временно блокирована»","29.07.2021 4:02:50","нет","2512","OBO","1097","2"
"TT16416111","Закрыта","25.07.2021 4:06:42","Претензия","MNP","Перезаведение портации","28.07.2021 4:06:42","нет","3162","OBO","3162","1"
"TT16416128","Закрыта","25.07.2021 4:13:48","Претензия","SMS нотификации от компании Теле2","Не поступают /дублируются смс","28.07.2021 4:13:48","нет","529","OBO","529","1"
"TT16416135","Закрыта","25.07.2021 4:16:01","Претензия","Контент","Абонент ничего не заказывал","27.07.2021 16:16:01","нет","726","OBO","726","1"
"TT16416137","Закрыта","25.07.2021 4:16:43","Претензия","Контент","Абонент ничего не заказывал","27.07.2021 16:16:43","нет","728","OBO","728","1"
