"НОМЕР ЗАЯВКИ","СТАТУС","ДАТА РЕГИСТРАЦИИ","ТИП ОБРАЩЕНИЯ","СЕРВИС","КРАТКОЕ ОПИСАНИЕ ПРОБЛЕМЫ","СРОК РЕШЕНИЯ","ПРОСРОЧЕН","ОБЩЕЕ ВРЕМЯ ОБРАБОТКИ (МИН.)","ГРУППА","ВРЕМЯ ОБРАБОТКИ ГРУППОЙ (МИН.)","КОЛ-ВО НАЗНАЧЕНИЙ НА ГРУППУ"
"TT16436246","Закрыта","27.07.2021 12:59:40","Администрирование","Администрирование B2C","Изменение статуса SIM: закрытие (перевод на банковские реквизиты)","06.08.2021 12:59:40","нет","25650","OBO","25650","1"
"TT16436247","Закрыта","27.07.2021 12:59:43","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","26.09.2021 12:59:43","нет","21566","OBO","21566","1"
"TT16436248","Закрыта","27.07.2021 12:59:55","Администрирование","Администрирование B2C","Переоформление номера с физ.лица на физ.лицо","01.08.2021 12:59:55","нет","303","OBO","303","1"
"TT16436249","Закрыта","27.07.2021 12:59:56","Администрирование","Администрирование B2C","Заявка на замену сим 4G","30.07.2021 12:59:56","нет","4310","OBO","4310","1"
"TT16436251","Закрыта","27.07.2021 13:00:03","Претензия","Технологическая заявка","Удержание MNP - проблемы с покрытием (сеть)","26.11.2021 5:00:03","нет","841","Technology TT","841","1"
"TT16436252","Закрыта","27.07.2021 13:00:03","Администрирование","Администрирование B2C","Переоформление номера с физ.лица на физ.лицо","01.08.2021 13:00:03","нет","220","OBO","220","1"
"TT16436253","Закрыта","27.07.2021 13:00:08","Претензия","Технологическая заявка","Поиск сети (покрытие неустойчивое/покрытия нет)","26.11.2021 5:00:07","нет","841","Technology TT","841","1"
"TT16436254","Закрыта","27.07.2021 13:00:11","Администрирование","Администрирование B2C","Изменение статуса SIM: закрытие (перевод на номер телефона)","06.08.2021 13:00:11","нет","13255","BO MOS","13255","1"
"TT16436255","Закрыта","27.07.2021 13:00:12","Администрирование","Администрирование B2C","Переоформление номера с физ.лица на физ.лицо","01.08.2021 13:00:12","нет","4446","BO MOS","4446","1"
"TT16436256","Закрыта","27.07.2021 13:00:15","Администрирование","Администрирование B2C","Переоформление номера с физ.лица на физ.лицо","01.08.2021 13:00:15","нет","221","OBO","221","1"
"TT16436257","Закрыта","27.07.2021 13:00:29","Претензия","Телефония","Исходящие МГ/МН вызовы","30.07.2021 13:00:29","нет","4103","OBO","4103","1"
"TT16436257","Закрыта","27.07.2021 13:00:29","Претензия","Телефония","Исходящие МГ/МН вызовы","30.07.2021 13:00:29","нет","4103","Tech NSK","0","1"
"TT16436258","Закрыта","27.07.2021 13:00:29","Претензия","MNP","Жалобы на отказ переноса со стороны оператора донора","04.08.2021 13:00:29","нет","7730","OBO","7730","1"
"TT16436259","Закрыта","27.07.2021 13:00:38","Администрирование","Администрирование B2B","Создание нового лицевого счета","28.07.2021 13:00:38","нет","1272","B2B Admin","1272","1"
"TT16436260","Закрыта","27.07.2021 13:00:39","Претензия","Технологическая заявка","Претензии к дилеру - Некорректное общение с абонентом","03.08.2021 13:00:39","нет","841","Technology TT","841","1"
"TT16436261","Закрыта","27.07.2021 13:01:02","Администрирование","Администрирование B2C","Корректировка регистрационных данных","29.07.2021 13:01:02","нет","2774","OBO","2774","1"
"TT16436262","Закрыта","27.07.2021 13:01:02","Администрирование","Администрирование B2C","Перечисление на банковские реквизиты","11.08.2021 13:01:02","нет","18949","OBO","18949","1"
"TT16436263","Закрыта","27.07.2021 13:01:03","Претензия","Технологическая заявка","Низкая скорость передачи данных","26.11.2021 5:01:03","нет","840","Technology TT","840","1"
"TT16436264","Закрыта","27.07.2021 13:01:13","Претензия","Контент","Абонент ничего не заказывал","30.07.2021 1:01:13","нет","114","OBO","114","1"
"TT16436265","Закрыта","27.07.2021 13:01:13","Претензия","Технологическая заявка","Поиск сети (покрытие неустойчивое/покрытия нет)","26.11.2021 5:01:12","нет","840","Technology TT","840","1"
"TT16436266","Закрыта","27.07.2021 13:01:17","Претензия","NPS","Передача данных - Нет соединения","27.07.2022 13:01:17","нет","840","NPS","840","1"
"TT16436269","Закрыта","27.07.2021 13:01:24","Претензия","Технологическая заявка","Удержание MNP - проблемы с покрытием (сеть)","26.11.2021 5:01:24","нет","840","Technology TT","840","1"
"TT16436270","Закрыта","27.07.2021 13:01:45","Претензия","NPS","Телефония – Обрыв звонка","27.07.2022 13:01:45","нет","840","NPS","840","1"
"TT16436271","Закрыта","27.07.2021 13:01:51","Администрирование","Администрирование B2B","Переоформление с юр.лица на физ.лицо","31.07.2021 13:01:51","нет","2865","Corp PRM","40","2"
"TT16436271","Закрыта","27.07.2021 13:01:51","Администрирование","Администрирование B2B","Переоформление с юр.лица на физ.лицо","31.07.2021 13:01:51","нет","2865","B2B Admin","2825","2"
"TT16436272","Закрыта","27.07.2021 13:01:51","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","26.09.2021 13:01:51","нет","73688","OBO","73679","2"
"TT16436272","Закрыта","27.07.2021 13:01:51","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","26.09.2021 13:01:51","нет","73688","Координатор OBO","9","1"
"TT16436273","Закрыта","27.07.2021 13:01:53","Администрирование","Администрирование B2C","Изменение статуса SIM: закрытие (без перечисления)","06.08.2021 13:01:53","нет","13256","BO MOS","13256","1"
"TT16436274","Закрыта","27.07.2021 13:01:53","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","26.09.2021 13:01:53","нет","21612","OBO","21612","1"
"TT16436275","Закрыта","27.07.2021 13:02:06","Администрирование","Администрирование B2C","Ошибочный наличный платёж","27.07.2021 21:02:06","нет","204","OBO","204","1"
"TT16436276","Закрыта","27.07.2021 13:02:10","Претензия","Технологическая заявка","Удержание MNP – проблемы с покрытием (интернет)","26.11.2021 5:02:10","нет","839","Technology TT","839","1"
"TT16436277","Закрыта","27.07.2021 13:02:11","Претензия","Технологическая заявка","Низкая скорость передачи данных","26.11.2021 5:02:11","нет","839","Technology TT","839","1"
"TT16436278","Закрыта","27.07.2021 13:02:24","Претензия","Технологическая заявка","Удержание MNP - проблемы с покрытием (сеть)","26.11.2021 5:02:24","нет","839","Technology TT","839","1"
"TT16436279","Закрыта","27.07.2021 13:02:28","Администрирование","Администрирование B2C","Ошибочный наличный платёж","27.07.2021 21:02:28","нет","207","OBO","207","1"
