"НОМЕР ЗАЯВКИ","СТАТУС","ДАТА РЕГИСТРАЦИИ","ТИП ОБРАЩЕНИЯ","СЕРВИС","КРАТКОЕ ОПИСАНИЕ ПРОБЛЕМЫ","СРОК РЕШЕНИЯ","ПРОСРОЧЕН","ОБЩЕЕ ВРЕМЯ ОБРАБОТКИ (МИН.)","ГРУППА","ВРЕМЯ ОБРАБОТКИ ГРУППОЙ (МИН.)","КОЛ-ВО НАЗНАЧЕНИЙ НА ГРУППУ"
"TT16441935","Закрыта","28.07.2021 5:13:44","Претензия","Сеть","Поиск сети","31.07.2021 5:13:44","нет","3214","OBO","3214","1"
"TT16441935","Закрыта","28.07.2021 5:13:44","Претензия","Сеть","Поиск сети","31.07.2021 5:13:44","нет","3214","Tech KEM","0","1"
"TT16441937","Закрыта","28.07.2021 5:13:56","Администрирование","Администрирование B2C","Корректировка регистрационных данных","30.07.2021 5:13:56","нет","2138","OBO","2138","1"
"TT16441941","Закрыта","28.07.2021 5:15:52","Администрирование","Администрирование B2B","Изменение реквизитов Юр. лица, в т.ч. данных ген. Директора","29.07.2021 5:15:52","нет","1346","B2B Admin","1346","1"
"TT16441943","Закрыта","28.07.2021 5:18:27","Претензия","Почта","obo_koordinator","31.07.2021 5:18:27","нет","60869","OBO","60869","1"
"TT16441945","Закрыта","28.07.2021 5:19:00","Администрирование","Администрирование B2C","Переоформление номера с физ.лица на физ.лицо","02.08.2021 5:19:00","нет","276","OBO","276","1"
"TT16441947","Закрыта","28.07.2021 5:19:20","Администрирование","Администрирование B2C","Корректировка регистрационных данных","30.07.2021 5:19:20","нет","753","OBO","753","1"
"TT16441949","Закрыта","28.07.2021 5:20:31","Администрирование","Администрирование B2C","Заявка на замену сим пользователю (не владельцу по Договору)","02.08.2021 5:20:31","нет","6295","OBO","6295","1"
"TT16441950","Закрыта","28.07.2021 5:21:33","Администрирование","Администрирование B2C","Изменение статуса SIM: закрытие (без перечисления)","07.08.2021 5:21:33","нет","13300","OBO","13300","1"
"TT16441954","Закрыта","28.07.2021 5:23:19","Претензия","Контент","Абонент ничего не заказывал","30.07.2021 17:23:19","нет","273","OBO","273","1"
"TT16441955","Закрыта","28.07.2021 5:23:31","Претензия","Передача данных","Нет соединения 4G","31.07.2021 5:23:31","нет","1846","OBO","1846","1"
"TT16441956","Закрыта","28.07.2021 5:23:38","Администрирование","Администрирование B2C","Корректировка регистрационных данных","30.07.2021 5:23:38","нет","2171","OBO","2171","1"
"TT16441957","Закрыта","28.07.2021 5:24:44","Претензия","Контент","Абонент ничего не заказывал","30.07.2021 17:24:44","нет","266","OBO","266","1"
"TT16441958","Закрыта","28.07.2021 5:24:48","Администрирование","Администрирование B2C","Корректировка регистрационных данных","30.07.2021 5:24:48","нет","752","OBO","752","1"
"TT16441959","Закрыта","28.07.2021 5:25:33","Администрирование","Администрирование B2B","Добавление платных услуг","28.07.2021 13:25:33","нет","404","B2B Admin","404","1"
"TT16441960","Закрыта","28.07.2021 5:26:02","Администрирование","Администрирование B2C","Переоформление номера с физ.лица на физ.лицо","02.08.2021 5:26:02","нет","273","OBO","273","1"
"TT16441963","Закрыта","28.07.2021 5:26:40","Администрирование","Администрирование B2B","Смена номера","29.07.2021 5:26:40","нет","280","B2B Admin","280","1"
"TT16441964","Закрыта","28.07.2021 5:27:13","Претензия","CCB","Обратная связь на работу оператора КЦ","31.07.2021 5:27:13","да","10766","Мониторинг","10766","1"
"TT16441965","Закрыта","28.07.2021 5:28:19","Претензия","Технологическая заявка","Низкая скорость передачи данных","26.11.2021 21:28:19","нет","1293","Technology TT","1293","1"
"TT16441966","Закрыта","28.07.2021 5:29:57","Претензия","CCB","Обратная связь на работу оператора КЦ","31.07.2021 5:29:57","нет","7883","Мониторинг","7883","1"
"TT16441972","Закрыта","28.07.2021 5:31:53","Претензия","CCB","Жалоба на сотрудника телемаркетинга","29.07.2021 5:31:53","нет","1290","Technology TT","1290","1"
"TT16441973","Закрыта","28.07.2021 5:32:21","Претензия","CCB","Обратная связь на работу оператора КЦ","31.07.2021 5:32:21","нет","9084","Мониторинг","9084","1"
"TT16441974","Закрыта","28.07.2021 5:32:33","Администрирование","Администрирование B2B","Проведение корректировки по услуге закрытых периодов","30.07.2021 5:32:33","нет","82","CKBO B2B","82","1"
"TT16441982","Закрыта","28.07.2021 5:35:43","Претензия","Контент","Абонент ничего не заказывал","30.07.2021 17:35:43","нет","1021","OBO","1021","1"
"TT16441984","Закрыта","28.07.2021 5:36:49","Администрирование","Администрирование B2B","Подключение доставки счета с ЭЦП","09.08.2021 5:36:49","нет","20535","B2B Admin","20535","1"
"TT16441985","Закрыта","28.07.2021 5:37:28","Администрирование","Администрирование B2C","Корректировка регистрационных данных","30.07.2021 5:37:28","нет","742","OBO","742","1"
"TT16441988","Закрыта","28.07.2021 5:39:57","Претензия","Контент","Абонент ничего не заказывал","30.07.2021 17:39:57","нет","263","OBO","263","1"
"TT16441989","Закрыта","28.07.2021 5:40:32","Администрирование","Администрирование B2C","Изменение статуса SIM: закрытие (перевод на номер телефона)","07.08.2021 5:40:32","нет","13284","OBO","13284","1"
"TT16441991","Закрыта","28.07.2021 5:41:13","Администрирование","Администрирование B2C","Переоформление номера с физ.лица на физ.лицо","02.08.2021 5:41:13","нет","266","OBO","266","1"
"TT16441992","Закрыта","28.07.2021 5:41:41","Претензия","Проблема с SPR","Статус услуги «Временно блокирована»","01.08.2021 5:41:41","нет","1661","OBO","1661","1"
"TT16441999","Закрыта","28.07.2021 5:43:32","Администрирование","Администрирование B2B","Заявка от потенциального клиента MNP","31.07.2021 5:43:32","нет","17","DS KEM","17","1"
"TT16442000","Закрыта","28.07.2021 5:44:39","Претензия","Технологическая заявка","Слабое покрытие в помещении","26.11.2021 21:44:39","нет","1277","Technology TT","1277","1"
"TT16442002","Закрыта","28.07.2021 5:45:31","Администрирование","Администрирование B2B","Переоформление с юр.лица на физ.лицо","29.07.2021 5:45:31","нет","1337","B2B Admin","1337","1"
"TT16442003","Закрыта","28.07.2021 5:46:05","Претензия","Контент","Абонент ничего не заказывал","30.07.2021 17:46:05","нет","248","OBO","248","1"
"TT16442004","Закрыта","28.07.2021 5:46:19","Претензия","Передача данных","Нет соединения 4G","31.07.2021 5:46:19","нет","2973","Tech BRT","2","1"
"TT16442004","Закрыта","28.07.2021 5:46:19","Претензия","Передача данных","Нет соединения 4G","31.07.2021 5:46:19","нет","2973","OBO","2971","2"
"TT16442005","Закрыта","28.07.2021 5:46:34","Администрирование","Администрирование B2B","Подключение услуги РТК ШПД","21.08.2021 5:46:34","нет","2955","CKBO B2B","2955","1"
"TT16442009","Закрыта","28.07.2021 5:48:41","Претензия","Технологическая заявка","Низкая скорость передачи данных","26.11.2021 21:48:41","нет","1273","Technology TT","1273","1"
"TT16442011","Закрыта","28.07.2021 5:50:14","Претензия","Контент","Абонент ничего не заказывал","30.07.2021 17:50:14","нет","246","OBO","246","1"
"TT16442015","Закрыта","28.07.2021 5:52:01","Претензия","Технологическая заявка","Низкая скорость передачи данных","26.11.2021 21:52:01","нет","1269","Technology TT","1269","1"
"TT16442018","Закрыта","28.07.2021 5:52:41","Претензия","Сервисы","Ошибка заявок","31.07.2021 5:52:41","нет","3023","OBO","2977","2"
"TT16442018","Закрыта","28.07.2021 5:52:41","Претензия","Сервисы","Ошибка заявок","31.07.2021 5:52:41","нет","3023","Billing Support","46","1"
"TT16442021","Закрыта","28.07.2021 5:55:00","Претензия","Контент","Абонент ничего не заказывал","30.07.2021 17:55:00","нет","248","OBO","248","1"
"TT16442022","Закрыта","28.07.2021 5:55:33","Претензия","Технологическая заявка","Низкая скорость передачи данных","26.11.2021 21:55:33","нет","1266","Technology TT","1266","1"
"TT16442023","Закрыта","28.07.2021 5:56:09","Администрирование","Администрирование B2B","Заявка от действующего клиента","29.07.2021 5:56:09","нет","4","Telesales","4","1"
"TT16442024","Закрыта","28.07.2021 5:56:13","Администрирование","Администрирование B2B","Подключение услуги РТК ШПД","21.08.2021 5:56:13","нет","1737","CKBO B2B","1737","1"
"TT16442025","Закрыта","28.07.2021 5:56:18","Администрирование","Администрирование B2C","Заявка на замену сим пользователю (не владельцу по Договору)","02.08.2021 5:56:18","нет","6257","OBO","6257","1"
"TT16442026","Закрыта","28.07.2021 5:56:21","Администрирование","Администрирование B2C","Перечисление на номер телефона","12.08.2021 5:56:21","нет","15975","OBO","15975","1"
"TT16442031","Закрыта","28.07.2021 6:01:44","Администрирование","Администрирование B2C","Корректировка регистрационных данных","30.07.2021 6:01:44","нет","2043","OBO","2043","1"
"TT16442032","Закрыта","28.07.2021 6:01:45","Претензия","Сеть","Поиск сети","31.07.2021 6:01:45","нет","3169","Tech YNR","133","1"
"TT16442032","Закрыта","28.07.2021 6:01:45","Претензия","Сеть","Поиск сети","31.07.2021 6:01:45","нет","3169","OBO","3036","1"
"TT16442033","Закрыта","28.07.2021 6:02:16","Администрирование","Администрирование B2B","Заявка потенциального клиента","29.07.2021 6:02:16","нет","28","DS NSK","28","1"
"TT16442034","Закрыта","28.07.2021 6:03:45","Администрирование","Администрирование B2C","Ошибочный наличный платёж","28.07.2021 14:03:45","нет","271","OBO","271","1"
"TT16442035","Закрыта","28.07.2021 6:04:05","Администрирование","Администрирование B2C","Ошибочный наличный платёж","28.07.2021 14:04:05","нет","9","OBO","9","1"
"TT16442036","Закрыта","28.07.2021 6:04:12","Администрирование","Администрирование B2C","Изменение статуса SIM: закрытие (перевод на номер телефона)","07.08.2021 6:04:12","нет","13267","OBO","13267","1"
"TT16442037","Закрыта","28.07.2021 6:04:18","Претензия","Контент","Абонент ничего не заказывал","30.07.2021 18:04:18","нет","229","OBO","229","1"
"TT16442038","Закрыта","28.07.2021 6:04:24","Претензия","Контент","Абонент ничего не заказывал","30.07.2021 18:04:24","нет","233","OBO","233","1"
"TT16442039","Закрыта","28.07.2021 6:05:08","Администрирование","Администрирование B2C","Корректировка регистрационных данных","30.07.2021 6:05:08","нет","2089","OBO","2089","1"
"TT16442040","Закрыта","28.07.2021 6:05:32","MVNO","SMS (MVNO)","Не отправить SMS","29.07.2021 6:05:32","нет","3675","OBO","91","1"
"TT16442040","Закрыта","28.07.2021 6:05:32","MVNO","SMS (MVNO)","Не отправить SMS","29.07.2021 6:05:32","нет","3675","RT L2","3584","1"
"TT16442041","Закрыта","28.07.2021 6:05:33","Администрирование","Администрирование B2C","Переформление по смерти абонента","02.08.2021 6:05:33","нет","244","OBO","244","1"
"TT16442042","Закрыта","28.07.2021 6:05:52","Администрирование","Администрирование B2C","Перечисление на номер телефона","12.08.2021 6:05:52","нет","15976","OBO","15976","1"
"TT16442043","Закрыта","28.07.2021 6:06:38","Претензия","Передача данных","Нет соединения 4G","31.07.2021 6:06:38","нет","337","OBO","337","1"
"TT16442046","Закрыта","28.07.2021 6:08:13","Администрирование","Администрирование B2C","Ошибочный наличный платёж","28.07.2021 14:08:13","нет","24","OBO","24","1"
"TT16442047","Закрыта","28.07.2021 6:10:01","Администрирование","Администрирование B2C","Переоформление номера с физ.лица на физ.лицо","02.08.2021 6:10:01","нет","242","OBO","242","1"
"TT16442052","Закрыта","28.07.2021 6:12:47","Администрирование","Документация В2С","Копии документов для Tele2","31.07.2021 6:12:47","нет","34973","OBO","34973","1"
"TT16442053","Закрыта","28.07.2021 6:13:12","Администрирование","Администрирование B2C","Изменение статуса SIM: закрытие (перевод на номер телефона)","07.08.2021 6:13:12","нет","13265","OBO","13265","1"
"TT16442054","Закрыта","28.07.2021 6:14:11","Претензия","Личный кабинет","Проблема в работе ЛК","01.08.2021 6:14:11","нет","76740","Billing Support","1489","2"
"TT16442054","Закрыта","28.07.2021 6:14:11","Претензия","Личный кабинет","Проблема в работе ЛК","01.08.2021 6:14:11","нет","76740","VAS Service Platform","4311","1"
"TT16442054","Закрыта","28.07.2021 6:14:11","Претензия","Личный кабинет","Проблема в работе ЛК","01.08.2021 6:14:11","нет","76740","ESB Support","69289","2"
"TT16442054","Закрыта","28.07.2021 6:14:11","Претензия","Личный кабинет","Проблема в работе ЛК","01.08.2021 6:14:11","нет","76740","WEB Support","1193","1"
"TT16442054","Закрыта","28.07.2021 6:14:11","Претензия","Личный кабинет","Проблема в работе ЛК","01.08.2021 6:14:11","нет","76740","OBO","458","1"
"TT16442056","Закрыта","28.07.2021 6:14:21","Администрирование","Администрирование B2C","Корректировка регистрационных данных","30.07.2021 6:14:21","нет","2124","OBO","2124","1"
"TT16442057","Назначена на группу","28.07.2021 6:14:30","Претензия","Технологическая заявка","Подключение услуги Стопфрод","29.07.2021 6:14:30","нет","0","ФЗ-115","0","1"
"TT16442060","Закрыта","28.07.2021 6:15:05","Претензия","Технологическая заявка","Поиск сети (покрытие неустойчивое/покрытия нет)","26.11.2021 22:15:05","нет","1246","Technology TT","1246","1"
"TT16442061","Закрыта","28.07.2021 6:15:07","Администрирование","Администрирование B2B","Точка продаж","31.07.2021 6:15:07","нет","4250","B2B Admin","4250","1"
"TT16442063","Закрыта","28.07.2021 6:15:12","Администрирование","Администрирование B2C","Корректировка регистрационных данных","30.07.2021 6:15:12","нет","2122","OBO","2122","1"
