"НОМЕР ЗАЯВКИ","СТАТУС","ДАТА РЕГИСТРАЦИИ","ТИП ОБРАЩЕНИЯ","СЕРВИС","КРАТКОЕ ОПИСАНИЕ ПРОБЛЕМЫ","СРОК РЕШЕНИЯ","ПРОСРОЧЕН","ОБЩЕЕ ВРЕМЯ ОБРАБОТКИ (МИН.)","ГРУППА","ВРЕМЯ ОБРАБОТКИ ГРУППОЙ (МИН.)","КОЛ-ВО НАЗНАЧЕНИЙ НА ГРУППУ"
"TT16441651","Закрыта","28.07.2021 3:00:48","Претензия","Тарификация","Текущие акции компании","01.08.2021 3:00:36","нет","30","OBO","30","1"
"TT16441660","Закрыта","28.07.2021 3:03:23","Претензия","Тарификация","Текущие акции компании","01.08.2021 3:03:23","нет","27","OBO","27","1"
"TT16441662","Закрыта","28.07.2021 3:04:21","Претензия","Претензии к дилеру","Подключен неверный тариф","04.08.2021 3:04:21","нет","12127","OBO","12127","1"
"TT16441666","Закрыта","28.07.2021 3:08:30","Претензия","CCB","Обратная связь на работу оператора КЦ","31.07.2021 3:08:30","нет","7815","Мониторинг","7815","1"
"TT16441675","Закрыта","28.07.2021 3:14:23","Администрирование","Администрирование B2C","Перечисление на номер телефона","12.08.2021 3:14:23","нет","16126","OBO","16126","1"
"TT16441684","Закрыта","28.07.2021 3:17:42","Администрирование","Администрирование B2B","Заявка потенциального клиента","29.07.2021 3:17:42","нет","13","DS KAM","13","1"
"TT16441687","Закрыта","28.07.2021 3:18:56","Администрирование","Администрирование B2B","Расторжение договора (полное) - Удержание","29.07.2021 3:18:56","нет","3566","Corp PRM","3566","1"
"TT16441688","Закрыта","28.07.2021 3:18:57","Администрирование","Администрирование B2C","Ошибочный наличный платёж","28.07.2021 11:18:57","нет","85","OBO","85","1"
"TT16441690","Закрыта","28.07.2021 3:20:58","Претензия","CCB","Обратная связь на работу оператора КЦ","31.07.2021 3:20:58","нет","8168","Мониторинг","8168","1"
"TT16441691","Закрыта","28.07.2021 3:21:50","Претензия","CCB","Для Digital: помощь с заказом","29.07.2021 3:21:50","нет","929","E-Shop","929","1"
"TT16441693","Закрыта","28.07.2021 3:24:07","Претензия","Телефония","Исходящие МГ/МН вызовы","31.07.2021 3:24:07","нет","574","OBO","343","1"
"TT16441693","Закрыта","28.07.2021 3:24:07","Претензия","Телефония","Исходящие МГ/МН вызовы","31.07.2021 3:24:07","нет","574","Tech SPB","231","1"
"TT16441694","Закрыта","28.07.2021 3:25:24","Претензия","CCB","Обратная связь на работу оператора КЦ","31.07.2021 3:25:24","нет","8144","Мониторинг","8144","1"
"TT16441700","Закрыта","28.07.2021 3:27:36","Претензия","Контент","Абонент ничего не заказывал","30.07.2021 15:27:36","нет","528","OBO","528","1"
"TT16441705","Закрыта","28.07.2021 3:30:47","Претензия","CCB","Перезвон ночному абоненту","29.07.2021 3:30:47","нет","890","Contact_Center","890","1"
"TT16441706","Закрыта","28.07.2021 3:30:48","MVNO","Передача данных (MVNO)","Нет соединения","31.07.2021 3:30:48","нет","6628","OBO","1784","2"
"TT16441706","Закрыта","28.07.2021 3:30:48","MVNO","Передача данных (MVNO)","Нет соединения","31.07.2021 3:30:48","нет","6628","RT L2","4844","1"
"TT16441706","Закрыта","28.07.2021 3:30:48","MVNO","Передача данных (MVNO)","Нет соединения","31.07.2021 3:30:48","нет","6628","Tech VLA","0","1"
"TT16441722","Закрыта","28.07.2021 3:40:08","Претензия","Контент","Абонент ничего не заказывал","30.07.2021 15:40:08","нет","375","OBO","375","1"
"TT16441725","Закрыта","28.07.2021 3:42:14","Претензия","CCB","Обратная связь на работу оператора КЦ","31.07.2021 3:42:14","нет","9498","Мониторинг","9498","1"
"TT16441726","Закрыта","28.07.2021 3:42:18","Претензия","CCB","Обратная связь на работу оператора КЦ","31.07.2021 3:42:18","нет","7836","Мониторинг","7836","1"
"TT16441734","Закрыта","28.07.2021 3:44:45","Администрирование","Администрирование B2B","Смена номера","29.07.2021 3:44:45","нет","260","B2B Admin","260","1"
"TT16441736","Закрыта","28.07.2021 3:45:19","Претензия","Контент","Абонент ничего не заказывал","30.07.2021 15:45:19","нет","371","OBO","371","1"
"TT16441741","Закрыта","28.07.2021 3:48:10","Претензия","CCB","Жалоба на сотрудника телемаркетинга","29.07.2021 3:48:10","нет","1393","Technology TT","1393","1"
"TT16441747","Закрыта","28.07.2021 3:51:49","Администрирование","Администрирование B2C","Изменение статуса SIM: закрытие (без перечисления)","07.08.2021 3:51:49","нет","13388","OBO","13388","1"
"TT16441748","Закрыта","28.07.2021 3:52:01","Претензия","Контент","Абонент ничего не заказывал","30.07.2021 15:52:01","нет","355","OBO","355","1"
"TT16441751","Закрыта","28.07.2021 3:54:21","Администрирование","Администрирование B2B","Заявка от действующего клиента","29.07.2021 3:54:21","нет","6","Telesales","6","1"
"TT16441752","Закрыта","28.07.2021 3:54:26","Администрирование","Администрирование B2C","Ошибочный наличный платёж","28.07.2021 11:54:26","нет","77","OBO","77","1"
"TT16441753","Закрыта","28.07.2021 3:55:59","Администрирование","Администрирование B2C","Ошибочный наличный платёж","28.07.2021 11:55:59","нет","78","OBO","78","1"
"TT16441775","Закрыта","28.07.2021 4:03:24","Претензия","Технологическая заявка","Низкая скорость передачи данных","26.11.2021 20:03:24","нет","1378","Technology TT","1378","1"
"TT16441779","Закрыта","28.07.2021 4:06:12","Претензия","CCB","Жалоба на сотрудника телемаркетинга","29.07.2021 4:06:12","нет","1375","Technology TT","1375","1"
"TT16441791","Закрыта","28.07.2021 4:10:38","Администрирование","Администрирование B2C","Ошибочный наличный платёж","28.07.2021 12:10:38","нет","68","OBO","68","1"
"TT16441795","Закрыта","28.07.2021 4:11:25","Претензия","CCB","Обратная связь на работу оператора КЦ","31.07.2021 4:11:25","нет","7715","Мониторинг","7715","1"
"TT16441797","Закрыта","28.07.2021 4:11:49","MVNO","Телефония (MVNO)","Шумы, помехи","31.07.2021 4:11:49","нет","57305","OBO","1452","4"
"TT16441797","Закрыта","28.07.2021 4:11:49","MVNO","Телефония (MVNO)","Шумы, помехи","31.07.2021 4:11:49","нет","57305","Tech YOL","1841","2"
"TT16441797","Закрыта","28.07.2021 4:11:49","MVNO","Телефония (MVNO)","Шумы, помехи","31.07.2021 4:11:49","нет","57305","RT L2","54012","2"
"TT16441798","Закрыта","28.07.2021 4:13:04","Администрирование","Администрирование B2B","Заявка потенциального клиента","29.07.2021 4:13:04","нет","17","DS BRT","17","1"
"TT16441800","Закрыта","28.07.2021 4:14:09","Администрирование","Администрирование B2C","Ошибочный наличный платёж","28.07.2021 12:14:09","нет","69","OBO","69","1"
"TT16441804","Закрыта","28.07.2021 4:16:19","Претензия","Контент","Абонент ничего не заказывал","30.07.2021 16:16:19","нет","324","OBO","324","1"
"TT16441805","Закрыта","28.07.2021 4:16:24","Претензия","Контент","Абонент ничего не заказывал","30.07.2021 16:16:24","нет","332","OBO","332","1"
"TT16441806","Закрыта","28.07.2021 4:18:29","Администрирование","Администрирование B2B","Возврат средств на р/с клиента","05.08.2021 4:18:29","нет","7640","CKBO B2B","7640","1"
"TT16441812","Закрыта","28.07.2021 4:19:35","Претензия","Почта","obo_koordinator","31.07.2021 4:19:35","нет","60928","OBO","60928","1"
"TT16441813","Закрыта","28.07.2021 4:19:37","Претензия","Почта","obo_koordinator","31.07.2021 4:19:37","нет","13677","OBO","13677","1"
"TT16441814","Закрыта","28.07.2021 4:20:04","Претензия","Технологическая заявка","Слабое покрытие в помещении","26.11.2021 20:20:04","нет","1361","Technology TT","1361","1"
"TT16441815","Закрыта","28.07.2021 4:20:26","Претензия","Черный список КЦ","Внесение абонента в черный список","28.07.2021 6:20:26","нет","1","Черный список КЦ","1","1"
"TT16441832","Закрыта","28.07.2021 4:25:07","Администрирование","Администрирование B2C","Переоформление номера с физ.лица на физ.лицо","02.08.2021 4:25:07","нет","326","OBO","326","1"
"TT16441833","Закрыта","28.07.2021 4:25:43","Претензия","Проблема с SPR","Статус услуги «Временно блокирована»","01.08.2021 4:25:43","нет","817","OBO","817","1"
"TT16441834","Закрыта","28.07.2021 4:26:51","Претензия","Контент","Абонент ничего не заказывал","30.07.2021 16:26:51","нет","318","OBO","318","1"
"TT16441838","Закрыта","28.07.2021 4:30:27","Претензия","SMS","Не получить SMS от Tele2","29.07.2021 4:30:27","нет","80","OBO","80","1"
"TT16441842","Закрыта","28.07.2021 4:32:13","Претензия","CCB","Обратная связь на работу оператора КЦ","31.07.2021 4:32:13","нет","9636","Мониторинг","9636","1"
"TT16441844","Закрыта","28.07.2021 4:33:14","Претензия","Контент","Абонент ничего не заказывал","30.07.2021 16:33:14","нет","311","OBO","311","1"
"TT16441848","Закрыта","28.07.2021 4:36:08","Администрирование","Администрирование B2C","Корректировка регистрационных данных","30.07.2021 4:36:08","нет","2207","OBO","2207","1"
"TT16441849","Закрыта","28.07.2021 4:36:11","Администрирование","Администрирование B2C","Подключение с 14 лет","31.07.2021 4:36:11","нет","3340","OBO","3340","1"
"TT16441851","Закрыта","28.07.2021 4:37:11","Претензия","Контент","Абонент ничего не заказывал","30.07.2021 16:37:11","нет","310","OBO","310","1"
"TT16441852","Закрыта","28.07.2021 4:37:40","Администрирование","Администрирование B2C","Корректировка регистрационных данных","30.07.2021 4:37:40","нет","2212","OBO","2212","1"
"TT16441868","Закрыта","28.07.2021 4:44:49","Претензия","Контент","Абонент ничего не заказывал","30.07.2021 16:44:49","нет","303","OBO","303","1"
"TT16441870","Закрыта","28.07.2021 4:46:20","Претензия","Тарификация","Роуминг","01.08.2021 4:46:20","нет","341","OBO","341","1"
"TT16441871","Закрыта","28.07.2021 4:46:40","MVNO","Сеть (MVNO)","Поиск сети","31.07.2021 4:46:40","нет","6518","OBO","678","3"
"TT16441871","Закрыта","28.07.2021 4:46:40","MVNO","Сеть (MVNO)","Поиск сети","31.07.2021 4:46:40","нет","6518","RT L2","5824","1"
"TT16441871","Закрыта","28.07.2021 4:46:40","MVNO","Сеть (MVNO)","Поиск сети","31.07.2021 4:46:40","нет","6518","Tech SPB WEST","16","2"
"TT16441877","Закрыта","28.07.2021 4:49:28","Претензия","CCB","Обратная связь на работу оператора КЦ","31.07.2021 4:49:28","нет","9195","Мониторинг","9195","1"
"TT16441878","Закрыта","28.07.2021 4:49:49","Претензия","Технологическая заявка","Низкая скорость передачи данных","26.11.2021 20:49:49","нет","1332","Technology TT","1332","1"
"TT16441879","Закрыта","28.07.2021 4:49:52","Претензия","Контент","Абонент ничего не заказывал","30.07.2021 16:49:52","нет","296","OBO","296","1"
"TT16441883","Закрыта","28.07.2021 4:50:45","Претензия","Контент","Абонент ничего не заказывал","30.07.2021 16:50:45","нет","300","OBO","300","1"
"TT16441884","Закрыта","28.07.2021 4:50:59","Претензия","Телефония","Исходящие местные вызовы","31.07.2021 4:50:59","нет","3235","Tech KEM","0","1"
"TT16441884","Закрыта","28.07.2021 4:50:59","Претензия","Телефония","Исходящие местные вызовы","31.07.2021 4:50:59","нет","3235","OBO","3235","1"
"TT16441885","Закрыта","28.07.2021 4:52:03","Претензия","Контент","Абонент ничего не заказывал","30.07.2021 16:52:03","нет","300","OBO","300","1"
"TT16441886","Закрыта","28.07.2021 4:52:31","Претензия","Wink","Обмен минут на кино","01.08.2021 4:52:31","нет","554","OBO","554","1"
"TT16441887","Закрыта","28.07.2021 4:52:32","Администрирование","Администрирование B2C","Ошибочный наличный платёж","28.07.2021 12:52:32","нет","36","OBO","36","1"
"TT16441892","Закрыта","28.07.2021 4:56:11","Претензия","Тарификация","Местные вызовы","01.08.2021 4:56:11","нет","338","OBO","338","1"
"TT16441895","Закрыта","28.07.2021 4:58:37","Претензия","Контент","Абонент ничего не заказывал","30.07.2021 16:58:37","нет","290","OBO","290","1"
"TT16441907","Закрыта","28.07.2021 5:03:04","Претензия","CCB","Жалоба на сотрудника телемаркетинга","29.07.2021 5:03:04","нет","1318","Technology TT","1318","1"
"TT16441910","Закрыта","28.07.2021 5:03:45","Администрирование","Администрирование B2B","Подключение доставки счета с ЭЦП","29.07.2021 5:03:45","нет","373","B2B Admin","373","1"
"TT16441913","Закрыта","28.07.2021 5:04:23","Претензия","Контент","Абонент ничего не заказывал","30.07.2021 17:04:23","нет","287","OBO","287","1"
"TT16441915","Закрыта","28.07.2021 5:06:00","Претензия","Тарификация","Местные вызовы","01.08.2021 5:06:00","нет","681","OBO","681","1"
"TT16441919","Закрыта","28.07.2021 5:08:07","Администрирование","Администрирование B2B","Заявка от действующего клиента","29.07.2021 5:08:07","нет","22","Telesales","22","1"
"TT16441922","Закрыта","28.07.2021 5:09:54","Претензия","Контент","Абонент ничего не заказывал","30.07.2021 17:09:54","нет","280","OBO","280","1"
"TT16441925","Закрыта","28.07.2021 5:10:19","Претензия","Тарификация","Услуга Еще","01.08.2021 5:10:19","нет","1706","OBO","1706","1"
"TT16441928","Закрыта","28.07.2021 5:12:12","Претензия","Сеть","Поиск сети","30.08.2021 5:12:12","нет","48087","Tech IRK","476","2"
"TT16441928","Закрыта","28.07.2021 5:12:12","Претензия","Сеть","Поиск сети","30.08.2021 5:12:12","нет","48087","OBO","47611","2"
"TT16441929","Закрыта","28.07.2021 5:12:29","Администрирование","Администрирование B2B","Проведение корректировки по услуге закрытых периодов","02.08.2021 5:12:29","нет","209","Corp TOM","5","1"
"TT16441929","Закрыта","28.07.2021 5:12:29","Администрирование","Администрирование B2B","Проведение корректировки по услуге закрытых периодов","02.08.2021 5:12:29","нет","209","CKBO B2B","204","2"
"TT16441930","Закрыта","28.07.2021 5:12:38","MVNO","Передача данных (MVNO)","Низкая скорость","31.07.2021 5:12:38","нет","16766","RT L2","15059","2"
"TT16441930","Закрыта","28.07.2021 5:12:38","MVNO","Передача данных (MVNO)","Низкая скорость","31.07.2021 5:12:38","нет","16766","Tech MOS SWS","1402","2"
"TT16441930","Закрыта","28.07.2021 5:12:38","MVNO","Передача данных (MVNO)","Низкая скорость","31.07.2021 5:12:38","нет","16766","OBO","305","4"
"TT16441931","Закрыта","28.07.2021 5:12:39","Претензия","CCB","Обратная связь на работу оператора КЦ","31.07.2021 5:12:39","нет","7496","Мониторинг","7496","1"
"TT16441933","Закрыта","28.07.2021 5:13:31","Администрирование","Администрирование B2B","Корректировка ошибочного платежа","29.07.2021 5:13:31","нет","181","Corp NSK","90","1"
"TT16441933","Закрыта","28.07.2021 5:13:31","Администрирование","Администрирование B2B","Корректировка ошибочного платежа","29.07.2021 5:13:31","нет","181","CKBO B2B","91","1"
"TT16441934","Закрыта","28.07.2021 5:13:41","Администрирование","Администрирование B2C","Заявка на замену сим 4G","31.07.2021 5:13:41","нет","4336","OBO","4336","1"
