"НОМЕР ЗАЯВКИ","СТАТУС","ДАТА РЕГИСТРАЦИИ","ТИП ОБРАЩЕНИЯ","СЕРВИС","КРАТКОЕ ОПИСАНИЕ ПРОБЛЕМЫ","СРОК РЕШЕНИЯ","ПРОСРОЧЕН","ОБЩЕЕ ВРЕМЯ ОБРАБОТКИ (МИН.)","ГРУППА","ВРЕМЯ ОБРАБОТКИ ГРУППОЙ (МИН.)","КОЛ-ВО НАЗНАЧЕНИЙ НА ГРУППУ"
"TT16413479","Закрыта","26.07.2021 11:25:10","Администрирование","Администрирование B2C","Переоформление номера с физ.лица на физ.лицо","31.07.2021 11:25:10","нет","2478","OBO","2478","1"
"TT16422289","Закрыта","26.07.2021 3:00:52","Претензия","Тарификация","Текущие акции компании","30.07.2021 3:00:38","нет","28","OBO","28","1"
"TT16422294","Отменена","26.07.2021 3:02:36","Претензия","Массовый инцидент","Сеть/Телефония","","нет","13","Escalation","13","1"
"TT16422295","Закрыта","26.07.2021 3:03:27","Претензия","Тарификация","Текущие акции компании","30.07.2021 3:03:27","нет","27","OBO","27","1"
"TT16422296","Закрыта","26.07.2021 3:04:00","Администрирование","Администрирование B2B","Переоформление с юр.лица на физ.лицо","27.07.2021 3:04:00","нет","104","B2B Admin","104","1"
"TT16422297","Закрыта","26.07.2021 3:05:04","Претензия","Передача данных","Нет соединения 4G","29.07.2021 3:05:04","нет","2289","OBO","2289","1"
"TT16422303","Закрыта","26.07.2021 3:07:40","Претензия","CCB","Жалоба на сотрудника телемаркетинга","27.07.2021 3:07:40","нет","1434","Technology TT","1434","1"
"TT16422304","Закрыта","26.07.2021 3:08:11","Администрирование","Администрирование B2B","Переоформление с юр.лица на физ.лицо","27.07.2021 3:08:11","нет","65","B2B Admin","65","1"
"TT16422309","Закрыта","26.07.2021 3:13:59","Претензия","Претензии к дилеру","Продажа SIM по неверной стоимости","02.08.2021 3:13:59","нет","9295","OBO","9295","1"
"TT16422312","Закрыта","26.07.2021 3:18:21","Претензия","SMS нотификации от компании Теле2","Не поступают /дублируются смс","29.07.2021 3:18:21","нет","1917","OBO","1917","1"
"TT16422313","Закрыта","26.07.2021 3:19:00","Претензия","Технологическая заявка","Длительные проблемы с сетью","26.07.2022 3:19:00","нет","1422","Technology TT","1422","1"
"TT16422324","Отменена","26.07.2021 3:28:05","Претензия","Массовый инцидент","Длительные проблемы","","нет","","","",""
"TT16422326","Закрыта","26.07.2021 3:29:55","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","25.09.2021 3:29:55","нет","75351","OBO","75347","2"
"TT16422326","Закрыта","26.07.2021 3:29:55","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","25.09.2021 3:29:55","нет","75351","Координатор OBO","4","1"
"TT16422327","Закрыта","26.07.2021 3:31:06","Претензия","MNP","Ошибка дилера","31.07.2021 3:31:06","нет","6226","OBO","6226","1"
"TT16422329","Закрыта","26.07.2021 3:33:28","Администрирование","Администрирование B2C","Изменение статуса SIM: закрытие (без перечисления)","05.08.2021 3:33:28","нет","13115","OBO","13115","1"
"TT16422335","Закрыта","26.07.2021 3:34:37","Претензия","Контент","Абонент ничего не заказывал","28.07.2021 15:34:37","нет","391","OBO","391","1"
"TT16422342","Закрыта","26.07.2021 3:38:57","Претензия","SMS нотификации от компании Теле2","Некорректный текст","29.07.2021 3:38:57","нет","3095","OBO","2073","2"
"TT16422342","Закрыта","26.07.2021 3:38:57","Претензия","SMS нотификации от компании Теле2","Некорректный текст","29.07.2021 3:38:57","нет","3095","NPD_CC_PCI_troubles","1022","1"
"TT16422343","Закрыта","26.07.2021 3:39:01","Администрирование","Администрирование B2C","Перечисление на банковские реквизиты","10.08.2021 3:39:01","нет","20912","OBO","20912","1"
"TT16422352","Закрыта","26.07.2021 3:44:02","Претензия","CCB","Обратная связь на работу оператора КЦ","29.07.2021 3:44:02","нет","9021","Мониторинг","9021","1"
"TT16422353","Закрыта","26.07.2021 3:44:56","Администрирование","Администрирование B2C","Корректировка регистрационных данных","28.07.2021 3:44:56","нет","2115","OBO","2115","1"
"TT16422357","Закрыта","26.07.2021 3:48:17","Претензия","Контент","Абонент ничего не заказывал","28.07.2021 15:48:17","нет","400","OBO","400","1"
"TT16422363","Закрыта","26.07.2021 3:52:03","Претензия","Контент","Абонент ничего не заказывал","28.07.2021 15:52:03","нет","391","OBO","391","1"
"TT16422366","Закрыта","26.07.2021 3:53:25","Претензия","Тарификация","Услуга Еще","30.07.2021 3:53:25","нет","700","NPD_CC_PCI_troubles","262","1"
"TT16422366","Закрыта","26.07.2021 3:53:25","Претензия","Тарификация","Услуга Еще","30.07.2021 3:53:25","нет","700","OBO","404","1"
"TT16422366","Закрыта","26.07.2021 3:53:25","Претензия","Тарификация","Услуга Еще","30.07.2021 3:53:25","нет","700","Billing Support","34","1"
"TT16422375","Закрыта","26.07.2021 3:59:11","Претензия","Технологическая заявка","Низкая скорость передачи данных","24.11.2021 19:59:11","нет","1382","Technology TT","1382","1"
"TT16422376","Закрыта","26.07.2021 3:59:54","Администрирование","Администрирование B2B","Отправка разовых счетов ЭЦП","27.07.2021 3:59:54","нет","306","B2B Admin","306","1"
"TT16422377","Закрыта","26.07.2021 4:00:18","Претензия","CCB","Обратная связь на работу оператора КЦ","29.07.2021 4:00:18","нет","9026","Мониторинг","9026","1"
