"Id","CreatedOn","CreatedById","ModifiedOn","ModifiedById","Name","Description","OwnershipId","PrimaryContactId","ParentId","OwnerId","IndustryId","Code","TypeId","Phone","AdditionalPhone","Fax","Web","AddressTypeId","Address","CityId","RegionId","Zip","CountryId","AccountCategoryId","EmployeesNumberId","AnnualRevenueId","Notes","Logo","AlternativeName","ProcessListeners"
"e308b781-3c5b-4ecb-89ef-5c1ed4da488e","2010-12-14 15:22:43.771","22c5540c-d9b1-49ef-8eb7-72419b78e57c","2011-11-17 09:45:40.051","dad159f3-6c2d-446a-98d2-0f4d26662bbe","???? ????????","","","","","","","43","","","","","","","","","","","","","","","","","","0"
"9dbc3fdc-b54c-4511-a3ab-8a72af730d2e","2014-07-30 05:02:10.926","410006e1-ca4e-4502-a9ec-e54d922d2c00","2014-07-30 05:02:10.926","410006e1-ca4e-4502-a9ec-e54d922d2c00","?????? ??????????? ????????","","","","","410006e1-ca4e-4502-a9ec-e54d922d2c00","","85","","","","","","","","","","","","","","","","System.Byte[]","","0"
"5047bf36-e0e9-4989-9c4e-7c33be383ff2","2014-07-30 05:02:13.527","410006e1-ca4e-4502-a9ec-e54d922d2c00","2014-07-30 05:02:13.527","410006e1-ca4e-4502-a9ec-e54d922d2c00","?????? ??????????? ????????","","","","","410006e1-ca4e-4502-a9ec-e54d922d2c00","","86","","","","","","","","","","","","","","","","System.Byte[]","","0"
