Name1;Name2;Name3;Name4;Subnet0;Subnet00;Subnet1;Subnet2;Subnet3;Subnet4;Subnet5;Branch;Town;Macro
wsnn;nbnn;wsrn;nbrn;10.87.176.0/20;;;;10.87.178.;10.87.179.;10.87.182.;Nizhniy Novgorod;;Волга
wscn;nbcn;;;10.87.176.0/20;;10.87.177.;10.87.180.;10.87.181.;;10.87.185.;Nizhny Novgorod-CP;;ЦФ
wscn-nocmon;nbcn-nocmon;;;;;;;;10.87.184.;;Nizhny Novgorod-NOC;;ЦФ
wsns;nbns;wsrs;nbrs;;10.77.29.0/25;10.77.28.;10.77.29.;;;;Novosibirsk;;Сибирь
wsom;nbom;;;;;10.77.41.;;;;;Omsk       ;;Сибирь
wscp;nbcp;;;10.77.42.128/25;;10.77.42.;10.78.42.;;;;Omsk-CP;;ЦФ
wsor;nbor;;;10.77.116.0/25  ;;10.77.116.;;;;;Oryol;;Черноземье
wsob;nbob;;;;;10.59.179.;;;;;Orenburg;;Урал
wspn;nbpn;;;;;10.84.180.;;;;;Penza;;Черноземье
wspr;nbpr;;;;;10.93.177.;;;;;Perm;PR-Office;Урал
wspr;nbpr;;;10.93.181.0/26  ;;10.93.181.;;;;;Perm;PR-Office-tech;Урал
wspt;nbpt;;;10.77.152.0/25;;10.77.152.;;;;;Petrozavodsk;Petrozavodsk_Clients;Северо-Запад
wspp;nbpp;;;10.77.192.0/25;;10.77.192.;;;;;Petropavlovsk-Kamchatsky;;Байкал и Дальний Восток
wsps;nbps;;;10.77.160.0/25  ;;10.77.160.;;;;;Pskov;;Северо-Запад
WSRO;NBRO;;;;;10.77.0.;;;;;Rostov-on-Don;Rostov-on-Don Region;Юг
WSRU;NBRU;;;;;;;;;;Central;;ЦФ
wsru;nbru;wsro;nbro;;;10.1.177.;;;;;Central & Rostov-on-Don;CBIT AND REGION;ЦФ
wsru;nbru;;;;;10.77.44.;10.77.237;;;;Central;CBIT;ЦФ
wsru;nbru;;;10.1.180.0/23;;10.1.180.;10.1.181.;10.78.251.;10.78.252.;10.78.253.;Central;CBIT;ЦФ
wsru;nbru;;;10.1.179.0/25;;10.1.179.;;;;;Central;CBIT HR;ЦФ
wsru-NOC;nbru-NOC;;;;;10.12.12.;;;;;Rostov-on-Don NOC;CBIT NOC;ЦФ
wszr;nbzr;;;;;10.77.232.;10.77.233.;10.77.234.;10.77.235.;10.77.236.;CC-Rostov;;ЦФ
wsry;nbry;;;10.77.124.0/25  ;;10.77.124.;;;;;Ryazan;;Центр
wssh;nbsh;;;10.97.177.0/25  ;;10.97.177.;;;;;Salekhard;Salekhard;Урал
wssh;nbsh;;;;;10.97.178.;;;;;Salekhard;;Урал
wssh;nbsh;;;10.97.179.0/29  ;;10.97.179.;;;;;Salekhard;Salekhard_ForTeh;Урал
wssh;nbsh;;;10.97.180.0/28  ;;10.97.180.;;;;;Salekhard;Nadym;Урал
wssa;nbsa;;;;;10.63.177.;;;;;Samara;Samara;Волга
wssa;nbsa;;;10.63.179.64/27               ;;10.63.179.;;;;;Samara;Syzran;Волга
wssa;nbsa;;;10.63.179.128/26             ;;10.63.179.;;;;;Samara;Tolyatti;Волга
wsst;nbst;;;;;;;;;;Stavropol;;Юг
wssp;nbsp;wsrp;nbrp;10.3.176.0/20;;10.3.176.;10.3.177.;10.3.178.;10.3.179.;10.3.180.;Saint-Petersburg;;Северо-Запад
wssp;nbsp;wsrp;nbrp;;;10.3.184.;10.3.185.;10.3.186.;10.3.187.;10.3.188.;Saint-Petersburg;;Северо-Запад
wssp;nbsp;wsrp;nbrp;;;10.3.189.;10.3.190.;10.3.191.;;;Saint-Petersburg;;Северо-Запад
wszs;nbzs;;;;;10.60.183.;10.60.184.;10.60.185.;10.60.186.;;СС-Saransk;;ЦФ
wssn;nbsn;;;;;10.60.188.;;;;;Saransk;;Черноземье
wssr;nbsr;;;;;10.86.177.;;;;;Saratov;;Черноземье
wssm;nbsm;;;10.77.12.0/25    ;;10.77.12.;;;;;Smolensk;;Центр
wssy;nbsy;;;10.77.69.0/25    ;;10.77.69.;;;;;Syktyvkar;Syktyvkar.User;Северо-Запад
wssy;nbsy;;;10.77.71.128/26               ;;10.77.71.;;;;;Syktyvkar;Syktyvkar_Remote;Северо-Запад
wssy;nbsy;;;10.77.71.192/27               ;;10.77.71.;;;;;Syktyvkar;Uhta;Северо-Запад
wsta;nbta;;;10.77.140.0/25  ;;10.77.140.;;;;;Tambov;;Черноземье
wstv;nbtv;;;10.77.144.0/25  ;;10.77.144.;;;;;Tver;;Центр
wsto;nbto;;;10.77.109.0/25;;10.77.109.;;;;;Tomsk;;Сибирь
wstl;nbtl;wsrt;nbrt;;;10.77.104.;10.27.177.;;;;Tula;;Центр
wstm;nbtm;;;;;10.95.177.;;;;;Tumen;;Урал
wsuu;nbuu;;;;;10.56.177.;;;;;Ulan-Ude;;Байкал и Дальний Восток
wsul;nbul;;;10.72.178.0/23  ;;10.72.178.;10.72.179.;;;;Ulyanovsk;UL_Office;Волга
wsul;nbul;;;;;10.72.180.;;;;;Ulyanovsk;UL_VLAN64;Волга
wsrh;nbrh;;;;;10.253.16.;;;;;Khabarovsk;;Байкал и Дальний Восток
wsha;nbha;;;10.96.178.0/25  ;;10.96.178.;10.96.179.;10.96.180.;;;Khanty-Mansiysk;Khanty-Mansiysk;Урал
wsha;nbha;;;10.96.181.0/27  ;;10.96.181.;;;;;Khanty-Mansiysk;N-Vartovsk;Урал
wsha;nbha;;;;;10.96.182.;;;;;Khanty-Mansiysk;Surgut;Урал
wscb;nbcb;;;;;10.74.177.;;;;;Cheboksary;;Волга
wsch;nbch;;;;;10.24.177.;;;;;Chelyabinsk;;Урал
wszc;nbzc;;;10.78.232.0/22;;10.78.232.;10.78.233.;10.78.234.;10.78.235.;;CC-Chelyabinsk;;ЦФ
wsus;nbus;;;10.77.184.0/25;;10.77.184.;;;;;Yuzhno-Sakhalinsk;;Байкал и Дальний Восток
wsyr;nbyr;;;;;10.91.177.;;;;;Yaroslavl;;Центр
;;;;10.12.;;;;;;;VPN;;
Stop;Stop;Stop;Stop;Stop;Stop;Stop;Stop;Stop;Stop;Stop;Stop;Stop;
