"НОМЕР ЗАЯВКИ","СТАТУС","ДАТА РЕГИСТРАЦИИ","ТИП ОБРАЩЕНИЯ","СЕРВИС","КРАТКОЕ ОПИСАНИЕ ПРОБЛЕМЫ","СРОК РЕШЕНИЯ","ПРОСРОЧЕН","ОБЩЕЕ ВРЕМЯ ОБРАБОТКИ (МИН.)","ГРУППА","ВРЕМЯ ОБРАБОТКИ ГРУППОЙ (МИН.)","КОЛ-ВО НАЗНАЧЕНИЙ НА ГРУППУ"
"TT15445147","Закрыта","27.03.2021 12:23:31","Претензия","Контент","Контент поврежден","30.03.2021 0:23:31","нет","109294","NPD_CC_PCI_troubles","1403","1"
"TT15445147","Закрыта","27.03.2021 12:23:31","Претензия","Контент","Контент поврежден","30.03.2021 0:23:31","нет","109294","CBM_Execution","153","1"
"TT15445147","Закрыта","27.03.2021 12:23:31","Претензия","Контент","Контент поврежден","30.03.2021 0:23:31","нет","109294","OBO","107738","3"
"TT15585449","Закрыта","14.04.2021 12:06:24","Претензия","Контент","Контент поврежден","17.04.2021 0:06:24","нет","83363","OBO","83363","1"
"TT15653411","Закрыта","22.04.2021 16:39:08","Претензия","Контент","Контент поврежден","25.04.2021 4:39:08","нет","71585","OBO","71585","1"
"TT15693316","Закрыта","28.04.2021 0:51:40","Претензия","Контент","Контент поврежден","30.04.2021 12:51:40","нет","63881","OBO","63881","1"
"TT15760521","Закрыта","06.05.2021 14:51:54","Претензия","Контент","Геопоиск","09.05.2021 2:51:54","нет","51527","OBO","50384","3"
"TT15760521","Закрыта","06.05.2021 14:51:54","Претензия","Контент","Геопоиск","09.05.2021 2:51:54","нет","51527","Billing Support","1143","2"
"TT15780721","Закрыта","09.05.2021 19:42:06","Претензия","Контент","Контент поврежден","12.05.2021 7:42:06","нет","46928","OBO","46928","1"
"TT15850959","Закрыта","18.05.2021 22:54:50","Претензия","Контент","Абонент ничего не заказывал","21.05.2021 10:54:50","нет","33775","OBO","33775","1"
"TT15867771","Закрыта","20.05.2021 20:02:25","Претензия","Контент","Абонент ничего не заказывал","23.05.2021 8:02:25","нет","31072","OBO","31072","1"
"TT15881802","Закрыта","22.05.2021 19:16:14","Претензия","Контент","Абонент ничего не заказывал","25.05.2021 7:16:14","нет","28226","OBO","28226","1"
"TT15885425","Закрыта","23.05.2021 13:40:12","Претензия","Контент","Абонент ничего не заказывал","26.05.2021 1:40:12","нет","32439","OBO","32439","1"
"TT15898084","Закрыта","25.05.2021 6:58:37","Претензия","Контент","Абонент ничего не заказывал","27.05.2021 18:58:37","нет","24642","OBO","24642","1"
"TT15899451","Закрыта","25.05.2021 9:56:19","Претензия","Контент","Абонент ничего не заказывал","27.05.2021 21:56:19","нет","24465","OBO","24465","1"
"TT15907429","Закрыта","26.05.2021 8:08:14","Претензия","Контент","Абонент ничего не заказывал","28.05.2021 20:08:14","нет","69673","Corp TUM","73","1"
