"НОМЕР ЗАЯВКИ","СТАТУС","ДАТА РЕГИСТРАЦИИ","ТИП ОБРАЩЕНИЯ","СЕРВИС","КРАТКОЕ ОПИСАНИЕ ПРОБЛЕМЫ","СРОК РЕШЕНИЯ","ПРОСРОЧЕН","ОБЩЕЕ ВРЕМЯ ОБРАБОТКИ (МИН.)","ГРУППА","ВРЕМЯ ОБРАБОТКИ ГРУППОЙ (МИН.)","КОЛ-ВО НАЗНАЧЕНИЙ НА ГРУППУ"
"TT15753482","Закрыта","05.05.2021 16:49:59","Претензия","Контент","Голосовой контент","08.05.2021 4:49:59","нет","52836","OBO","47210","2"
"TT15753482","Закрыта","05.05.2021 16:49:59","Претензия","Контент","Голосовой контент","08.05.2021 4:49:59","нет","52836","Tech EKT","5626","1"
"TT15851115","Закрыта","18.05.2021 23:56:13","Претензия","Контент","Абонент ничего не заказывал","21.05.2021 11:56:13","нет","33710","OBO","33710","1"
"TT15908824","Закрыта","26.05.2021 10:55:34","Администрирование","Администрирование B2C","Непричастность к Договору","25.06.2021 10:55:34","нет","90699","BO SAM","40112","2"
"TT15908824","Закрыта","26.05.2021 10:55:34","Администрирование","Администрирование B2C","Непричастность к Договору","25.06.2021 10:55:34","нет","90699","OBO","50587","3"
"TT15952522","Закрыта","31.05.2021 19:38:05","Администрирование","Администрирование B2C","Непричастность к Договору","30.06.2021 19:38:05","нет","43139","OBO","40013","3"
"TT15952522","Закрыта","31.05.2021 19:38:05","Администрирование","Администрирование B2C","Непричастность к Договору","30.06.2021 19:38:05","нет","43139","BO ORB","3126","2"
"TT15955500","Закрыта","01.06.2021 9:16:26","Администрирование","Администрирование B2C","Переоформление на Пользователя ф.л","15.08.2021 9:16:00","нет","82246","OBO","82245","2"
"TT15955500","Закрыта","01.06.2021 9:16:26","Администрирование","Администрирование B2C","Переоформление на Пользователя ф.л","15.08.2021 9:16:00","нет","82246","Координатор OBO","1","1"
"TT15966823","Закрыта","02.06.2021 11:37:56","Администрирование","Администрирование B2C","Непричастность к Договору","02.07.2021 11:37:56","нет","50631","BO CHE","2764","1"
"TT15966823","Закрыта","02.06.2021 11:37:56","Администрирование","Администрирование B2C","Непричастность к Договору","02.07.2021 11:37:56","нет","50631","OBO","47867","2"
"TT15978207","Закрыта","03.06.2021 15:30:41","Администрирование","Администрирование B2B","Подключение услуги РТК ШПД","02.08.2021 15:30:00","нет","79170","Corp VLA","8281","1"
"TT15978207","Закрыта","03.06.2021 15:30:41","Администрирование","Администрирование B2B","Подключение услуги РТК ШПД","02.08.2021 15:30:00","нет","79170","CKBO B2B","70889","2"
"TT16019013","Закрыта","08.06.2021 16:47:25","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","08.08.2021 16:47:25","нет","71408","Координатор OBO","3","1"
"TT16019013","Закрыта","08.06.2021 16:47:25","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","08.08.2021 16:47:25","нет","71408","OBO","71405","2"
"TT16019400","Закрыта","08.06.2021 17:36:03","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","08.08.2021 17:36:03","нет","71360","Координатор OBO","5","1"
"TT16019400","Закрыта","08.06.2021 17:36:03","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","08.08.2021 17:36:03","нет","71360","OBO","71355","2"
"TT16019865","Закрыта","08.06.2021 18:34:14","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","08.08.2021 18:34:14","нет","71615","OBO","71610","2"
"TT16019865","Закрыта","08.06.2021 18:34:14","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","08.08.2021 18:34:14","нет","71615","Координатор OBO","5","1"
"TT16019953","Закрыта","08.06.2021 18:47:08","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","08.08.2021 18:47:08","нет","71609","OBO","71606","2"
"TT16019953","Закрыта","08.06.2021 18:47:08","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","08.08.2021 18:47:08","нет","71609","Координатор OBO","3","1"
"TT16033306","Закрыта","10.06.2021 11:07:20","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","10.08.2021 11:07:20","нет","69406","BO MOS","69406","1"
"TT16033833","Закрыта","10.06.2021 11:53:51","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","10.08.2021 11:53:51","нет","69151","OBO","69143","2"
"TT16033833","Закрыта","10.06.2021 11:53:51","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","10.08.2021 11:53:51","нет","69151","Координатор OBO","8","1"
"TT16035370","Закрыта","10.06.2021 13:52:40","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","10.08.2021 13:52:40","нет","69257","BO MOS","69257","1"
"TT16037007","Закрыта","10.06.2021 15:51:19","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","10.08.2021 15:51:19","нет","69149","BO MOS","69149","1"
"TT16038737","Закрыта","10.06.2021 18:56:27","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","10.08.2021 18:56:27","нет","68970","BO MOS","68970","1"
"TT16039417","Закрыта","10.06.2021 21:03:03","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","10.08.2021 21:03:03","нет","68849","BO MOS","68849","1"
"TT16052607","Закрыта","12.06.2021 15:21:42","Администрирование","Администрирование B2C","Переоформление на Пользователя ф.л","12.08.2021 15:21:42","нет","66080","Координатор OBO","8","1"
"TT16052607","Закрыта","12.06.2021 15:21:42","Администрирование","Администрирование B2C","Переоформление на Пользователя ф.л","12.08.2021 15:21:42","нет","66080","OBO","66072","2"
"TT16101271","Закрыта","18.06.2021 15:37:05","Претензия","Тарификация","Местные вызовы","22.06.2021 15:37:05","нет","57443","Central Product B2B","56337","1"
"TT16101271","Закрыта","18.06.2021 15:37:05","Претензия","Тарификация","Местные вызовы","22.06.2021 15:37:05","нет","57443","OBO","1106","2"
"TT16105849","Закрыта","19.06.2021 10:02:33","Администрирование","Документация В2С","Копии документов для Tele2","22.06.2021 10:02:33","нет","56107","OBO","56107","1"
"TT16138438","Закрыта","23.06.2021 8:34:31","Администрирование","Администрирование B2C","Непричастность к Договору","03.08.2021 8:34:31","нет","50757","OBO","50387","2"
"TT16138438","Закрыта","23.06.2021 8:34:31","Администрирование","Администрирование B2C","Непричастность к Договору","03.08.2021 8:34:31","нет","50757","BO PRM","370","1"
"TT16150048","Закрыта","24.06.2021 11:31:48","Претензия","Контент","Абонент ничего не заказывал","26.06.2021 23:31:48","да","595","OBO","595","1"
"TT16154783","Закрыта","24.06.2021 19:23:14","Администрирование","Администрирование B2C","Непричастность к Договору","24.07.2021 19:23:14","нет","42745","OBO","38740","2"
"TT16154783","Закрыта","24.06.2021 19:23:14","Администрирование","Администрирование B2C","Непричастность к Договору","24.07.2021 19:23:14","нет","42745","BO KLN","4005","1"
"TT16174410","Закрыта","27.06.2021 11:10:10","Претензия","Контент","Абонент ничего не заказывал","29.06.2021 23:10:10","нет","1406","OBO","1406","1"
"TT16182198","Закрыта","28.06.2021 11:47:25","Администрирование","Администрирование B2C","Перечисление на банковские реквизиты","27.07.2021 11:47:25","да","43374","OBO","43374","1"
"TT16194158","Закрыта","29.06.2021 12:51:29","Администрирование","Администрирование B2C","Переоформление на Пользователя ф.л","29.08.2021 12:51:29","нет","41606","OBO","34804","3"
"TT16194158","Закрыта","29.06.2021 12:51:29","Администрирование","Администрирование B2C","Переоформление на Пользователя ф.л","29.08.2021 12:51:29","нет","41606","Координатор OBO","6801","1"
"TT16194158","Закрыта","29.06.2021 12:51:29","Администрирование","Администрирование B2C","Переоформление на Пользователя ф.л","29.08.2021 12:51:29","нет","41606","BO KLG","1","1"
"TT16198343","Закрыта","29.06.2021 20:26:47","Администрирование","Документация В2С","Копии документов для Tele2","02.07.2021 20:26:47","нет","41716","OBO","41716","1"
"TT16216177","Закрыта","01.07.2021 17:13:07","Администрирование","Администрирование B2B","Подключение услуги РТК 8-800","18.07.2021 17:13:07","нет","38","Corp SPB","10","1"
"TT16216177","Закрыта","01.07.2021 17:13:07","Администрирование","Администрирование B2B","Подключение услуги РТК 8-800","18.07.2021 17:13:07","нет","38","CKBO B2B","28","1"
"TT16222114","Закрыта","02.07.2021 12:09:13","Претензия","Письменная претензия","Ответ на письменную претензию","01.08.2021 12:09:13","нет","30292","OBO","30292","1"
"TT16224654","Закрыта","02.07.2021 16:02:03","Администрирование","Администрирование B2C","Переоформление на Пользователя ф.л","01.09.2021 16:02:03","нет","36940","BO BEL","7663","1"
"TT16224654","Закрыта","02.07.2021 16:02:03","Администрирование","Администрирование B2C","Переоформление на Пользователя ф.л","01.09.2021 16:02:03","нет","36940","Координатор OBO","3261","1"
"TT16224654","Закрыта","02.07.2021 16:02:03","Администрирование","Администрирование B2C","Переоформление на Пользователя ф.л","01.09.2021 16:02:03","нет","36940","OBO","26016","3"
"TT16225910","Закрыта","02.07.2021 17:40:51","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","01.09.2021 17:40:51","нет","37129","OBO","23722","3"
"TT16225910","Закрыта","02.07.2021 17:40:51","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","01.09.2021 17:40:51","нет","37129","Координатор OBO","3233","1"
"TT16225910","Закрыта","02.07.2021 17:40:51","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","01.09.2021 17:40:51","нет","37129","BO VLG","10174","1"
"TT16232232","Закрыта","03.07.2021 16:25:19","Претензия","Письменная претензия","Ответ на письменную претензию","02.08.2021 16:25:19","нет","35306","OBO","14020","2"
"TT16232232","Закрыта","03.07.2021 16:25:19","Претензия","Письменная претензия","Ответ на письменную претензию","02.08.2021 16:25:19","нет","35306","BO BRT","21286","1"
"TT16238636","Закрыта","04.07.2021 16:48:24","Администрирование","Администрирование B2C","Непричастность к Договору","03.08.2021 16:48:24","нет","33496","OBO","33443","2"
"TT16238636","Закрыта","04.07.2021 16:48:24","Администрирование","Администрирование B2C","Непричастность к Договору","03.08.2021 16:48:24","нет","33496","BO VRN","53","1"
"TT16244081","Закрыта","05.07.2021 12:15:39","Претензия","Письменная претензия","Ответ на письменную претензию","04.08.2021 12:15:39","нет","33107","BO MOS","33107","1"
"TT16245885","Закрыта","05.07.2021 14:44:57","Претензия","Письменная претензия","Ответ на письменную претензию","04.08.2021 14:44:57","нет","33302","BO MOS","33302","1"
"TT16252291","Закрыта","06.07.2021 9:24:42","Претензия","Претензии к дилеру","Некорректная информация","13.07.2021 9:24:42","нет","32118","OBO","32118","1"
