"НОМЕР ЗАЯВКИ","СТАТУС","ДАТА РЕГИСТРАЦИИ","ТИП ОБРАЩЕНИЯ","СЕРВИС","КРАТКОЕ ОПИСАНИЕ ПРОБЛЕМЫ","СРОК РЕШЕНИЯ","ПРОСРОЧЕН","ОБЩЕЕ ВРЕМЯ ОБРАБОТКИ (МИН.)","ГРУППА","ВРЕМЯ ОБРАБОТКИ ГРУППОЙ (МИН.)","КОЛ-ВО НАЗНАЧЕНИЙ НА ГРУППУ"
"TT15791932","Закрыта","11.05.2021 13:41:11","MVNO","Телефония (MVNO)","Исходящие местные вызовы","25.05.2021 13:41:00","нет","109251","MCN L2","3332","5"
"TT15791932","Закрыта","11.05.2021 13:41:11","MVNO","Телефония (MVNO)","Исходящие местные вызовы","25.05.2021 13:41:00","нет","109251","MVNO.CP","5733","4"
"TT15791932","Закрыта","11.05.2021 13:41:11","MVNO","Телефония (MVNO)","Исходящие местные вызовы","25.05.2021 13:41:00","нет","109251","Tech BRN","7118","2"
"TT15791932","Закрыта","11.05.2021 13:41:11","MVNO","Телефония (MVNO)","Исходящие местные вызовы","25.05.2021 13:41:00","нет","109251","OBO","93068","10"
"TT15997992","Закрыта","06.06.2021 11:35:24","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","06.08.2021 11:35:24","нет","62175","BO MOS","37615","2"
"TT15997992","Закрыта","06.06.2021 11:35:24","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","06.08.2021 11:35:24","нет","62175","FO MOS","24560","1"
"TT15998014","Закрыта","06.06.2021 11:37:50","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","06.08.2021 11:37:50","нет","72288","BO MOS","72288","1"
"TT15999562","Закрыта","06.06.2021 15:11:55","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","06.08.2021 15:11:55","нет","72084","BO MOS","72084","1"
"TT15999673","Закрыта","06.06.2021 15:28:06","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","06.08.2021 15:28:06","нет","72074","BO MOS","72074","1"
"TT15999674","Закрыта","06.06.2021 15:28:26","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","06.08.2021 15:28:26","нет","72093","BO MOS","72093","1"
"TT16000042","Закрыта","06.06.2021 16:26:15","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","06.08.2021 16:26:15","нет","72047","BO MOS","72047","1"
"TT16000078","Закрыта","06.06.2021 16:30:58","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","06.08.2021 16:30:58","нет","72056","BO MOS","72056","1"
"TT16001312","Закрыта","06.06.2021 20:34:27","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","06.08.2021 20:34:27","нет","71818","BO MOS","71818","1"
"TT16005857","Закрыта","07.06.2021 12:22:03","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","07.08.2021 12:22:03","нет","70876","BO MOS","70876","1"
"TT16006450","Закрыта","07.06.2021 13:09:21","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","07.08.2021 13:09:21","нет","70834","BO MOS","70834","1"
"TT16007545","Закрыта","07.06.2021 14:49:11","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","07.08.2021 14:49:11","нет","70740","BO MOS","70740","1"
"TT16008797","Закрыта","07.06.2021 16:55:28","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","07.08.2021 16:55:28","нет","70620","BO MOS","70620","1"
"TT16010095","Закрыта","07.06.2021 19:06:05","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","07.08.2021 19:06:05","нет","70494","BO MOS","70494","1"
"TT16010641","Закрыта","07.06.2021 20:08:22","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","07.08.2021 20:08:22","нет","70437","BO MOS","70437","1"
"TT16011045","Закрыта","07.06.2021 20:47:51","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","07.08.2021 20:47:51","нет","70403","BO MOS","70403","1"
"TT16013976","Закрыта","08.06.2021 10:04:16","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","08.08.2021 10:04:16","нет","69216","OBO","69212","2"
"TT16013976","Закрыта","08.06.2021 10:04:16","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","08.08.2021 10:04:16","нет","69216","Координатор OBO","4","1"
"TT16014323","Закрыта","08.06.2021 10:28:45","Администрирование","Администрирование B2C","Переоформление на Пользователя ф.л","08.08.2021 10:28:45","нет","69194","OBO","69190","2"
"TT16014323","Закрыта","08.06.2021 10:28:45","Администрирование","Администрирование B2C","Переоформление на Пользователя ф.л","08.08.2021 10:28:45","нет","69194","Координатор OBO","4","1"
"TT16014867","Закрыта","08.06.2021 11:08:04","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","08.08.2021 11:08:04","нет","69157","OBO","69152","2"
