"НОМЕР ЗАЯВКИ","СТАТУС","ДАТА РЕГИСТРАЦИИ","ТИП ОБРАЩЕНИЯ","СЕРВИС","КРАТКОЕ ОПИСАНИЕ ПРОБЛЕМЫ","СРОК РЕШЕНИЯ","ПРОСРОЧЕН","ОБЩЕЕ ВРЕМЯ ОБРАБОТКИ (МИН.)","ГРУППА","ВРЕМЯ ОБРАБОТКИ ГРУППОЙ (МИН.)","КОЛ-ВО НАЗНАЧЕНИЙ НА ГРУППУ"
"TT15916174","Закрыта","27.05.2021 8:39:43","MVNO","Телефония (MVNO)","Исходящие местные вызовы","30.05.2021 8:39:43","нет","85525","OBO","1481","2"
"TT15916174","Закрыта","27.05.2021 8:39:43","MVNO","Телефония (MVNO)","Исходящие местные вызовы","30.05.2021 8:39:43","нет","85525","Tech BRT","48839","1"
"TT15916174","Закрыта","27.05.2021 8:39:43","MVNO","Телефония (MVNO)","Исходящие местные вызовы","30.05.2021 8:39:43","нет","85525","RT L2","35205","1"
"TT15974834","Закрыта","03.06.2021 10:42:28","Претензия","Контент","Абонент ничего не заказывал","05.06.2021 22:42:28","нет","11454","OBO","11454","1"
"TT16007278","Закрыта","07.06.2021 14:22:13","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","07.08.2021 14:22:13","нет","68972","OBO","68961","2"
"TT16007278","Закрыта","07.06.2021 14:22:13","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","07.08.2021 14:22:13","нет","68972","Координатор OBO","11","1"
"TT16007612","Закрыта","07.06.2021 14:56:12","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","07.08.2021 14:56:12","нет","68940","OBO","68937","2"
"TT16007612","Закрыта","07.06.2021 14:56:12","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","07.08.2021 14:56:12","нет","68940","Координатор OBO","3","1"
"TT16007689","Закрыта","07.06.2021 15:02:23","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","07.08.2021 15:02:23","нет","68936","Координатор OBO","74","1"
"TT16007689","Закрыта","07.06.2021 15:02:23","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","07.08.2021 15:02:23","нет","68936","OBO","68862","2"
"TT16008060","Закрыта","07.06.2021 15:42:56","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","07.08.2021 15:42:56","нет","68899","OBO","68893","2"
"TT16008060","Закрыта","07.06.2021 15:42:56","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","07.08.2021 15:42:56","нет","68899","Координатор OBO","6","1"
"TT16008196","Закрыта","07.06.2021 15:56:46","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","07.08.2021 15:56:46","нет","68902","Координатор OBO","11","1"
"TT16008196","Закрыта","07.06.2021 15:56:46","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","07.08.2021 15:56:46","нет","68902","OBO","68891","2"
"TT16009279","Закрыта","07.06.2021 17:35:41","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","07.08.2021 17:35:41","нет","68805","Координатор OBO","7","1"
"TT16009279","Закрыта","07.06.2021 17:35:41","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","07.08.2021 17:35:41","нет","68805","OBO","68798","2"
"TT16010257","Закрыта","07.06.2021 19:27:25","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","07.08.2021 19:27:25","нет","68695","OBO","68632","2"
"TT16010257","Закрыта","07.06.2021 19:27:25","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","07.08.2021 19:27:25","нет","68695","Координатор OBO","63","1"
"TT16010342","Закрыта","07.06.2021 19:36:52","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","07.08.2021 19:36:52","нет","68688","OBO","68682","2"
"TT16010342","Закрыта","07.06.2021 19:36:52","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","07.08.2021 19:36:52","нет","68688","Координатор OBO","6","1"
"TT16010939","Закрыта","07.06.2021 20:36:40","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","07.08.2021 20:36:40","нет","68630","Координатор OBO","6","1"
