"НОМЕР ЗАЯВКИ","СТАТУС","ДАТА РЕГИСТРАЦИИ","ТИП ОБРАЩЕНИЯ","СЕРВИС","КРАТКОЕ ОПИСАНИЕ ПРОБЛЕМЫ","СРОК РЕШЕНИЯ","ПРОСРОЧЕН","ОБЩЕЕ ВРЕМЯ ОБРАБОТКИ (МИН.)","МАКСИМАЛЬНОЕ ВРЕМЯ ОБРАБОТКИ ГРУППОЙ (МИН.)","МИНИМАЛЬНОЕ ВРЕМЯ ОБРАБОТКИ ГРУППОЙ (МИН.)","ГРУППА","ДАТА ПЕРЕВОДА НА ГРУППУ","ВРЕМЯ ОБРАБОТКИ ГРУППОЙ (МИН.)"
"TT16931762","В работе","05.01.2022 3:58:37","Администрирование","Администрирование B2B","Акт сверки","06.01.2022 3:58:37","нет","0","0","0","B2B Admin","05.01.2022 3:58:45","0"
"TT16931763","Назначена на группу","05.01.2022 4:01:31","Администрирование","Одобрение ЭРФ","Создание клиента","","нет","","","","","",""
"TT16931764","Закрыта","05.01.2022 4:02:26","Администрирование","Администрирование B2B","Акт сверки","06.01.2022 4:02:26","нет","0","0","0","B2B Admin","05.01.2022 4:02:30","0"
"TT16931764","Закрыта","05.01.2022 4:02:26","Администрирование","Администрирование B2B","Акт сверки","06.01.2022 4:02:26","нет","0","0","0","OBO","05.01.2022 4:05:57","0"
"TT16931764","Закрыта","05.01.2022 4:02:26","Администрирование","Администрирование B2B","Акт сверки","06.01.2022 4:02:26","нет","0","0","0","Corp MOS","05.01.2022 4:05:40","0"
"TT16931765","Назначена на группу","05.01.2022 4:11:47","Администрирование","Администрирование B2B","Акт сверки","06.01.2022 4:11:47","нет","","","","","",""
"TT16931766","Назначена на группу","05.01.2022 4:12:51","Администрирование","Одобрение ЭРФ","Создание клиента","","нет","","","","","",""
"TT16931767","Закрыта","05.01.2022 4:25:32","Администрирование","Администрирование B2B","Акт сверки","06.01.2022 4:25:32","нет","0","0","0","Corp MOS","05.01.2022 4:28:06","0"
"TT16931768","Закрыта","05.01.2022 4:37:27","Администрирование","Администрирование B2B","Акт сверки","06.01.2022 4:37:27","нет","2","2","2","Corp ORL","05.01.2022 4:39:54","2"
"TT16931769","Закрыта","05.01.2022 4:54:26","Администрирование","Администрирование B2B","Акт сверки","06.01.2022 4:54:26","нет","0","0","0","B2B Admin","05.01.2022 4:54:29","0"
"TT16931769","Закрыта","05.01.2022 4:54:26","Администрирование","Администрирование B2B","Акт сверки","06.01.2022 4:54:26","нет","0","0","0","Corp MOS","05.01.2022 4:56:57","0"
"TT16931770","Закрыта","05.01.2022 5:02:59","Администрирование","Администрирование B2B","Акт сверки","06.01.2022 5:02:59","нет","0","0","0","Corp MOS","05.01.2022 5:05:31","0"
"TT16931771","Закрыта","05.01.2022 5:08:47","Администрирование","Администрирование B2B","Заявка от потенциального клиента MNP","08.01.2022 5:08:47","нет","2","2","2","DS ORL","05.01.2022 5:10:12","2"
"TT16931772","Закрыта","05.01.2022 5:09:26","Администрирование","ГОЗ (corpzapros)","Запрос потенциального клиента","06.01.2022 5:09:26","нет","1","1","1","DS ORL","05.01.2022 5:10:09","1"
"TT16931773","Назначена на группу","05.01.2022 5:12:14","Администрирование","Администрирование B2B","Акт сверки","06.01.2022 5:12:14","нет","","","","","",""
"TT16931774","Закрыта","05.01.2022 5:13:39","Администрирование","Администрирование B2B","Заявка потенциального клиента","06.01.2022 5:13:39","нет","1","1","1","DS ORL","05.01.2022 5:14:08","1"
"TT16931775","Закрыта","05.01.2022 5:13:47","Администрирование","ГОЗ (corpzapros)","Запрос потенциального клиента","06.01.2022 5:13:47","нет","1","1","1","DS ORL","05.01.2022 5:14:04","1"
"TT16931776","Закрыта","05.01.2022 5:15:10","Претензия","WebDealer","Прочее","08.01.2022 5:15:10","нет","0","0","0","OBO","05.01.2022 5:15:56","0"
"TT16931777","Закрыта","05.01.2022 5:17:00","Администрирование","Администрирование B2B","Акт сверки","06.01.2022 5:17:00","нет","0","0","0","B2B Admin","05.01.2022 5:17:03","0"
"TT16931777","Закрыта","05.01.2022 5:17:00","Администрирование","Администрирование B2B","Акт сверки","06.01.2022 5:17:00","нет","0","0","0","Corp MOS","05.01.2022 5:19:28","0"
