"НОМЕР ЗАЯВКИ","СТАТУС","ДАТА РЕГИСТРАЦИИ","ТИП ОБРАЩЕНИЯ","СЕРВИС","КРАТКОЕ ОПИСАНИЕ ПРОБЛЕМЫ","СРОК РЕШЕНИЯ","ПРОСРОЧЕН","ОБЩЕЕ ВРЕМЯ ОБРАБОТКИ (МИН.)","МАКСИМАЛЬНОЕ ВРЕМЯ ОБРАБОТКИ ГРУППОЙ (МИН.)","МИНИМАЛЬНОЕ ВРЕМЯ ОБРАБОТКИ ГРУППОЙ (МИН.)","ГРУППА","ДАТА ПЕРЕВОДА НА ГРУППУ","ВРЕМЯ ОБРАБОТКИ ГРУППОЙ (МИН.)"
"TT16931870","Закрыта","13.01.2022 3:55:43","Администрирование","Администрирование B2B","Акт сверки","14.01.2022 3:55:43","нет","1","0","0","B2B Admin","13.01.2022 3:55:50","0"
"TT16931870","Закрыта","13.01.2022 3:55:43","Администрирование","Администрирование B2B","Акт сверки","14.01.2022 3:55:43","нет","1","0","0","OBO","13.01.2022 3:59:21","0"
"TT16931870","Закрыта","13.01.2022 3:55:43","Администрирование","Администрирование B2B","Акт сверки","14.01.2022 3:55:43","нет","1","1","1","Corp MOS","13.01.2022 3:59:05","1"
"TT16931871","Назначена на группу","13.01.2022 3:58:32","Администрирование","Одобрение ЭРФ","Создание клиента","","нет","","","","","",""
"TT16931872","Закрыта","13.01.2022 4:07:48","Администрирование","Администрирование B2B","Акт сверки","14.01.2022 4:07:48","нет","3","3","3","Corp ORL","13.01.2022 4:10:17","3"
"TT16931873","Назначена на группу","13.01.2022 4:09:02","Администрирование","Одобрение ЭРФ","Создание клиента","","нет","","","","","",""
"TT16931874","Возвращена на доработку","13.01.2022 4:11:28","Администрирование","Администрирование B2B","Акт сверки","14.01.2022 4:11:28","нет","","","","","",""
"TT16931875","Закрыта","13.01.2022 4:14:51","Администрирование","Администрирование B2B","Акт сверки","14.01.2022 4:14:51","нет","0","0","0","Corp MOS","13.01.2022 4:17:20","0"
"TT16931876","Закрыта","13.01.2022 4:24:50","Администрирование","Администрирование B2B","Акт сверки","14.01.2022 4:24:50","нет","0","0","0","Corp MOS","13.01.2022 4:27:20","0"
"TT16931877","Закрыта","13.01.2022 4:34:54","Администрирование","Администрирование B2B","Акт сверки","14.01.2022 4:34:54","нет","3","3","3","Corp ORL","13.01.2022 4:37:40","3"
"TT16931878","Закрыта","13.01.2022 4:50:04","Администрирование","Администрирование B2B","Акт сверки","14.01.2022 4:50:04","нет","0","0","0","B2B Admin","13.01.2022 4:50:08","0"
"TT16931878","Закрыта","13.01.2022 4:50:04","Администрирование","Администрирование B2B","Акт сверки","14.01.2022 4:50:04","нет","0","0","0","Corp MOS","13.01.2022 4:52:35","0"
"TT16931879","Закрыта","13.01.2022 4:58:00","Администрирование","Администрирование B2B","Акт сверки","14.01.2022 4:58:00","нет","0","0","0","Corp MOS","13.01.2022 5:00:30","0"
"TT16931880","Закрыта","13.01.2022 5:03:12","Администрирование","Администрирование B2B","Заявка от потенциального клиента MNP","16.01.2022 5:03:12","нет","1","1","1","DS ORL","13.01.2022 5:04:07","1"
"TT16931881","Закрыта","13.01.2022 5:03:30","Администрирование","ГОЗ (corpzapros)","Запрос потенциального клиента","14.01.2022 5:03:30","нет","1","1","1","DS ORL","13.01.2022 5:04:04","1"
"TT16931882","Закрыта","13.01.2022 5:06:25","Администрирование","Администрирование B2B","Заявка потенциального клиента","14.01.2022 5:06:25","нет","2","2","2","DS ORL","13.01.2022 5:08:11","2"
"TT16931883","Закрыта","13.01.2022 5:06:44","Администрирование","ГОЗ (corpzapros)","Запрос потенциального клиента","14.01.2022 5:06:44","нет","2","2","2","DS ORL","13.01.2022 5:08:06","2"
"TT16931884","Закрыта","13.01.2022 5:08:03","Претензия","WebDealer","Прочее","16.01.2022 5:08:03","нет","0","0","0","OBO","13.01.2022 5:08:50","0"
"TT16931885","Закрыта","13.01.2022 5:09:49","Администрирование","Администрирование B2B","Акт сверки","14.01.2022 5:09:49","нет","0","0","0","B2B Admin","13.01.2022 5:09:53","0"
"TT16931885","Закрыта","13.01.2022 5:09:49","Администрирование","Администрирование B2B","Акт сверки","14.01.2022 5:09:49","нет","0","0","0","Corp MOS","13.01.2022 5:12:19","0"
