"НОМЕР ЗАЯВКИ","СТАТУС","ДАТА РЕГИСТРАЦИИ","ТИП ОБРАЩЕНИЯ","СЕРВИС","КРАТКОЕ ОПИСАНИЕ ПРОБЛЕМЫ","СРОК РЕШЕНИЯ","ПРОСРОЧЕН","ОБЩЕЕ ВРЕМЯ ОБРАБОТКИ (МИН.)","МАКСИМАЛЬНОЕ ВРЕМЯ ОБРАБОТКИ ГРУППОЙ (МИН.)","МИНИМАЛЬНОЕ ВРЕМЯ ОБРАБОТКИ ГРУППОЙ (МИН.)","ГРУППА","ДАТА ПЕРЕВОДА НА ГРУППУ","ВРЕМЯ ОБРАБОТКИ ГРУППОЙ (МИН.)"
"TT16931778","В работе","06.01.2022 3:58:16","Администрирование","Администрирование B2B","Акт сверки","07.01.2022 3:58:16","нет","0","0","0","B2B Admin","06.01.2022 3:58:22","0"
"TT16931779","Назначена на группу","06.01.2022 4:01:21","Администрирование","Одобрение ЭРФ","Создание клиента","","нет","","","","","",""
"TT16931780","Возвращена на доработку","06.01.2022 4:02:05","Администрирование","Администрирование B2B","Акт сверки","07.01.2022 4:02:05","нет","0","0","0","B2B Admin","06.01.2022 4:02:10","0"
"TT16931781","Назначена на группу","06.01.2022 4:10:50","Администрирование","Администрирование B2B","Акт сверки","07.01.2022 4:10:50","нет","","","","","",""
"TT16931782","Назначена на группу","06.01.2022 4:11:41","Администрирование","Одобрение ЭРФ","Создание клиента","","нет","","","","","",""
"TT16931783","Закрыта","06.01.2022 4:26:17","Администрирование","Администрирование B2B","Акт сверки","07.01.2022 4:26:17","нет","0","0","0","Corp MOS","06.01.2022 4:28:51","0"
"TT16931784","Закрыта","06.01.2022 4:36:49","Администрирование","Администрирование B2B","Акт сверки","07.01.2022 4:36:49","нет","3","3","3","Corp ORL","06.01.2022 4:39:17","3"
"TT16931785","Закрыта","06.01.2022 4:53:23","Администрирование","Администрирование B2B","Акт сверки","07.01.2022 4:53:23","нет","0","0","0","B2B Admin","06.01.2022 4:53:26","0"
"TT16931785","Закрыта","06.01.2022 4:53:23","Администрирование","Администрирование B2B","Акт сверки","07.01.2022 4:53:23","нет","0","0","0","Corp MOS","06.01.2022 4:55:53","0"
"TT16931786","Закрыта","06.01.2022 5:01:03","Администрирование","Администрирование B2B","Акт сверки","07.01.2022 5:01:03","нет","0","0","0","Corp MOS","06.01.2022 5:03:31","0"
"TT16931787","Закрыта","06.01.2022 5:07:16","Администрирование","Администрирование B2B","Заявка от потенциального клиента MNP","09.01.2022 5:07:16","нет","1","1","1","DS ORL","06.01.2022 5:08:12","1"
"TT16931788","Закрыта","06.01.2022 5:07:20","Администрирование","ГОЗ (corpzapros)","Запрос потенциального клиента","07.01.2022 5:07:20","нет","1","1","1","DS ORL","06.01.2022 5:08:08","1"
"TT16931789","Закрыта","06.01.2022 5:09:25","Администрирование","Администрирование B2B","Заявка потенциального клиента","07.01.2022 5:09:25","нет","1","1","1","DS ORL","06.01.2022 5:10:10","1"
"TT16931790","Закрыта","06.01.2022 5:10:20","Администрирование","ГОЗ (corpzapros)","Запрос потенциального клиента","07.01.2022 5:10:20","нет","2","2","2","DS ORL","06.01.2022 5:12:04","2"
"TT16931791","Закрыта","06.01.2022 5:11:05","Администрирование","Администрирование B2B","Заявка от потенциального клиента MNP","09.01.2022 5:11:05","нет","1","1","1","DS ORL","06.01.2022 5:12:09","1"
"TT16931792","Закрыта","06.01.2022 5:11:08","Администрирование","ГОЗ (corpzapros)","Запрос потенциального клиента","07.01.2022 5:11:08","нет","1","1","1","DS ORL","06.01.2022 5:12:07","1"
"TT16931793","Закрыта","06.01.2022 5:11:33","Претензия","WebDealer","Прочее","09.01.2022 5:11:33","нет","1","1","1","OBO","06.01.2022 5:12:20","1"
"TT16931794","Закрыта","06.01.2022 5:13:13","Администрирование","Администрирование B2B","Заявка потенциального клиента","07.01.2022 5:13:13","нет","3","3","3","DS ORL","06.01.2022 5:16:08","3"
"TT16931795","Закрыта","06.01.2022 5:14:04","Администрирование","ГОЗ (corpzapros)","Запрос потенциального клиента","07.01.2022 5:14:04","нет","2","2","2","DS ORL","06.01.2022 5:16:05","2"
"TT16931796","Закрыта","06.01.2022 5:16:08","Администрирование","Администрирование B2B","Акт сверки","07.01.2022 5:16:08","нет","0","0","0","B2B Admin","06.01.2022 5:16:11","0"
"TT16931796","Закрыта","06.01.2022 5:16:08","Администрирование","Администрирование B2B","Акт сверки","07.01.2022 5:16:08","нет","0","0","0","Corp MOS","06.01.2022 5:18:36","0"
