"НОМЕР ЗАЯВКИ","СТАТУС","ДАТА РЕГИСТРАЦИИ","ТИП ОБРАЩЕНИЯ","СЕРВИС","КРАТКОЕ ОПИСАНИЕ ПРОБЛЕМЫ","СРОК РЕШЕНИЯ","ПРОСРОЧЕН","ОБЩЕЕ ВРЕМЯ ОБРАБОТКИ (МИН.)","МАКСИМАЛЬНОЕ ВРЕМЯ ОБРАБОТКИ ГРУППОЙ (МИН.)","МИНИМАЛЬНОЕ ВРЕМЯ ОБРАБОТКИ ГРУППОЙ (МИН.)","ГРУППА","ДАТА ПЕРЕВОДА НА ГРУППУ","ВРЕМЯ ОБРАБОТКИ ГРУППОЙ (МИН.)"
"TT16931852","В работе","12.01.2022 3:57:55","Администрирование","Администрирование B2B","Акт сверки","13.01.2022 3:57:55","нет","1","1","1","B2B Admin","12.01.2022 3:58:04","1"
"TT16931853","Назначена на группу","12.01.2022 4:01:42","Администрирование","Одобрение ЭРФ","Создание клиента","","нет","","","","","",""
"TT16931854","Закрыта","12.01.2022 4:01:47","Администрирование","Администрирование B2B","Акт сверки","13.01.2022 4:01:47","нет","1","0","0","B2B Admin","12.01.2022 4:01:52","0"
"TT16931854","Закрыта","12.01.2022 4:01:47","Администрирование","Администрирование B2B","Акт сверки","13.01.2022 4:01:47","нет","1","0","0","OBO","12.01.2022 4:05:20","0"
"TT16931854","Закрыта","12.01.2022 4:01:47","Администрирование","Администрирование B2B","Акт сверки","13.01.2022 4:01:47","нет","1","1","1","Corp MOS","12.01.2022 4:05:02","1"
"TT16931855","Закрыта","12.01.2022 4:12:24","Администрирование","Администрирование B2B","Акт сверки","13.01.2022 4:12:24","нет","2","2","2","Corp ORL","12.01.2022 4:14:53","2"
"TT16931856","Назначена на группу","12.01.2022 4:12:52","Администрирование","Одобрение ЭРФ","Создание клиента","","нет","","","","","",""
"TT16931857","Возвращена на доработку","12.01.2022 4:15:19","Администрирование","Администрирование B2B","Акт сверки","13.01.2022 4:15:19","нет","","","","","",""
"TT16931858","Закрыта","12.01.2022 4:18:40","Администрирование","Администрирование B2B","Акт сверки","13.01.2022 4:18:40","нет","0","0","0","Corp MOS","12.01.2022 4:21:08","0"
"TT16931859","Закрыта","12.01.2022 4:26:29","Администрирование","Администрирование B2B","Акт сверки","13.01.2022 4:26:29","нет","0","0","0","Corp MOS","12.01.2022 4:28:57","0"
"TT16931860","Закрыта","12.01.2022 4:39:38","Администрирование","Администрирование B2B","Акт сверки","13.01.2022 4:39:38","нет","3","3","3","Corp ORL","12.01.2022 4:42:06","3"
"TT16931861","Закрыта","12.01.2022 4:55:29","Администрирование","Администрирование B2B","Акт сверки","13.01.2022 4:55:29","нет","0","0","0","B2B Admin","12.01.2022 4:55:32","0"
"TT16931861","Закрыта","12.01.2022 4:55:29","Администрирование","Администрирование B2B","Акт сверки","13.01.2022 4:55:29","нет","0","0","0","Corp MOS","12.01.2022 4:57:59","0"
"TT16931862","Закрыта","12.01.2022 5:04:09","Администрирование","Администрирование B2B","Акт сверки","13.01.2022 5:04:09","нет","0","0","0","Corp MOS","12.01.2022 5:06:39","0"
"TT16931863","Закрыта","12.01.2022 5:08:21","Администрирование","Администрирование B2B","Заявка от потенциального клиента MNP","15.01.2022 5:08:21","нет","2","2","2","DS ORL","12.01.2022 5:10:12","2"
"TT16931864","Закрыта","12.01.2022 5:08:35","Администрирование","ГОЗ (corpzapros)","Запрос потенциального клиента","13.01.2022 5:08:35","нет","2","2","2","DS ORL","12.01.2022 5:10:09","2"
"TT16931865","Закрыта","12.01.2022 5:11:31","Администрирование","Администрирование B2B","Заявка потенциального клиента","13.01.2022 5:11:31","нет","1","1","1","DS ORL","12.01.2022 5:12:09","1"
"TT16931866","Закрыта","12.01.2022 5:11:41","Администрирование","ГОЗ (corpzapros)","Запрос потенциального клиента","13.01.2022 5:11:41","нет","1","1","1","DS ORL","12.01.2022 5:12:06","1"
"TT16931867","Закрыта","12.01.2022 5:12:56","Претензия","WebDealer","Прочее","15.01.2022 5:12:56","нет","1","1","1","OBO","12.01.2022 5:13:41","1"
"TT16931868","Закрыта","12.01.2022 5:14:48","Администрирование","Администрирование B2B","Акт сверки","13.01.2022 5:14:48","нет","0","0","0","B2B Admin","12.01.2022 5:14:51","0"
"TT16931868","Закрыта","12.01.2022 5:14:48","Администрирование","Администрирование B2B","Акт сверки","13.01.2022 5:14:48","нет","0","0","0","Corp MOS","12.01.2022 5:17:17","0"
"TT16931869","Назначена на группу","12.01.2022 23:44:11","Администрирование","Администрирование B2B","Акт сверки","13.01.2022 23:44:11","нет","","","","","",""
