"НОМЕР ЗАЯВКИ","СТАТУС","ДАТА РЕГИСТРАЦИИ","ТИП ОБРАЩЕНИЯ","СЕРВИС","КРАТКОЕ ОПИСАНИЕ ПРОБЛЕМЫ","СРОК РЕШЕНИЯ","ПРОСРОЧЕН","ОБЩЕЕ ВРЕМЯ ОБРАБОТКИ (МИН.)","МАКСИМАЛЬНОЕ ВРЕМЯ ОБРАБОТКИ ГРУППОЙ (МИН.)","МИНИМАЛЬНОЕ ВРЕМЯ ОБРАБОТКИ ГРУППОЙ (МИН.)","ГРУППА","ДАТА ПЕРЕВОДА НА ГРУППУ","ВРЕМЯ ОБРАБОТКИ ГРУППОЙ (МИН.)"
"TT16931744","Возвращена на доработку","04.01.2022 3:57:56","Администрирование","Администрирование B2B","Акт сверки","05.01.2022 3:57:56","нет","1","1","1","B2B Admin","04.01.2022 3:58:01","1"
"TT16931745","Назначена на группу","04.01.2022 4:00:23","Администрирование","Одобрение ЭРФ","Создание клиента","","нет","","","","","",""
"TT16931746","Закрыта","04.01.2022 4:02:05","Администрирование","Администрирование B2B","Акт сверки","05.01.2022 4:02:05","нет","1","0","0","B2B Admin","04.01.2022 4:02:08","0"
"TT16931746","Закрыта","04.01.2022 4:02:05","Администрирование","Администрирование B2B","Акт сверки","05.01.2022 4:02:05","нет","1","0","0","OBO","04.01.2022 4:05:36","0"
"TT16931746","Закрыта","04.01.2022 4:02:05","Администрирование","Администрирование B2B","Акт сверки","05.01.2022 4:02:05","нет","1","1","1","Corp MOS","04.01.2022 4:05:19","1"
"TT16931747","Закрыта","04.01.2022 4:10:43","Администрирование","Администрирование B2B","Акт сверки","05.01.2022 4:10:43","нет","3","3","3","Corp ORL","04.01.2022 4:13:10","3"
"TT16931748","Назначена на группу","04.01.2022 4:11:41","Администрирование","Одобрение ЭРФ","Создание клиента","","нет","","","","","",""
"TT16931749","Возвращена на доработку","04.01.2022 4:14:20","Администрирование","Администрирование B2B","Акт сверки","05.01.2022 4:14:20","нет","","","","","",""
"TT16931750","Закрыта","04.01.2022 4:17:41","Администрирование","Администрирование B2B","Акт сверки","05.01.2022 4:17:41","нет","0","0","0","Corp MOS","04.01.2022 4:20:08","0"
"TT16931751","Закрыта","04.01.2022 4:27:24","Администрирование","Администрирование B2B","Акт сверки","05.01.2022 4:27:24","нет","0","0","0","Corp MOS","04.01.2022 4:29:53","0"
"TT16931752","Закрыта","04.01.2022 4:38:24","Администрирование","Администрирование B2B","Акт сверки","05.01.2022 4:38:24","нет","2","2","2","Corp ORL","04.01.2022 4:40:52","2"
"TT16931753","Закрыта","04.01.2022 4:54:23","Администрирование","Администрирование B2B","Акт сверки","05.01.2022 4:54:23","нет","0","0","0","B2B Admin","04.01.2022 4:54:27","0"
"TT16931753","Закрыта","04.01.2022 4:54:23","Администрирование","Администрирование B2B","Акт сверки","05.01.2022 4:54:23","нет","0","0","0","Corp MOS","04.01.2022 4:56:53","0"
"TT16931754","Закрыта","04.01.2022 5:02:31","Администрирование","Администрирование B2B","Акт сверки","05.01.2022 5:02:31","нет","1","1","1","Corp MOS","04.01.2022 5:05:01","1"
"TT16931755","Закрыта","04.01.2022 5:07:09","Администрирование","Администрирование B2B","Заявка от потенциального клиента MNP","07.01.2022 5:07:09","нет","1","1","1","DS ORL","04.01.2022 5:08:08","1"
"TT16931756","Закрыта","04.01.2022 5:07:19","Администрирование","ГОЗ (corpzapros)","Запрос потенциального клиента","05.01.2022 5:07:19","нет","1","1","1","DS ORL","04.01.2022 5:08:06","1"
"TT16931757","Назначена на группу","04.01.2022 5:08:48","Администрирование","Администрирование B2B","Акт сверки","05.01.2022 5:08:48","нет","","","","","",""
"TT16931758","Закрыта","04.01.2022 5:09:36","Администрирование","Администрирование B2B","Заявка потенциального клиента","05.01.2022 5:09:36","нет","1","1","1","DS ORL","04.01.2022 5:10:18","1"
"TT16931759","Закрыта","04.01.2022 5:09:47","Администрирование","ГОЗ (corpzapros)","Запрос потенциального клиента","05.01.2022 5:09:47","нет","1","1","1","DS ORL","04.01.2022 5:10:13","1"
"TT16931760","Закрыта","04.01.2022 5:11:27","Претензия","WebDealer","Прочее","07.01.2022 5:11:27","нет","1","1","1","OBO","04.01.2022 5:12:14","1"
"TT16931761","Закрыта","04.01.2022 5:12:37","Администрирование","Администрирование B2B","Акт сверки","05.01.2022 5:12:37","нет","0","0","0","B2B Admin","04.01.2022 5:12:40","0"
"TT16931761","Закрыта","04.01.2022 5:12:37","Администрирование","Администрирование B2B","Акт сверки","05.01.2022 5:12:37","нет","0","0","0","Corp MOS","04.01.2022 5:15:05","0"
