"НОМЕР ЗАЯВКИ","СТАТУС","ДАТА РЕГИСТРАЦИИ","ТИП ОБРАЩЕНИЯ","СЕРВИС","КРАТКОЕ ОПИСАНИЕ ПРОБЛЕМЫ","СРОК РЕШЕНИЯ","ПРОСРОЧЕН","ОБЩЕЕ ВРЕМЯ ОБРАБОТКИ (МИН.)","МАКСИМАЛЬНОЕ ВРЕМЯ ОБРАБОТКИ ГРУППОЙ (МИН.)","МИНИМАЛЬНОЕ ВРЕМЯ ОБРАБОТКИ ГРУППОЙ (МИН.)","ГРУППА","ДАТА ПЕРЕВОДА НА ГРУППУ","ВРЕМЯ ОБРАБОТКИ ГРУППОЙ (МИН.)"
"TT16931886","Закрыта","14.01.2022 3:55:36","Администрирование","Администрирование B2B","Акт сверки","15.01.2022 3:55:36","нет","1","0","0","B2B Admin","14.01.2022 3:55:53","0"
"TT16931886","Закрыта","14.01.2022 3:55:36","Администрирование","Администрирование B2B","Акт сверки","15.01.2022 3:55:36","нет","1","0","0","OBO","14.01.2022 3:59:27","0"
"TT16931886","Закрыта","14.01.2022 3:55:36","Администрирование","Администрирование B2B","Акт сверки","15.01.2022 3:55:36","нет","1","1","1","Corp MOS","14.01.2022 3:59:08","1"
"TT16931887","Назначена на группу","14.01.2022 3:58:06","Администрирование","Одобрение ЭРФ","Создание клиента","","нет","","","","","",""
"TT16931888","Назначена на группу","14.01.2022 4:06:57","Администрирование","Администрирование B2B","Акт сверки","15.01.2022 4:06:57","нет","","","","","",""
"TT16931889","Назначена на группу","14.01.2022 4:08:01","Администрирование","Одобрение ЭРФ","Создание клиента","","нет","","","","","",""
"TT16931890","Закрыта","14.01.2022 4:22:02","Администрирование","Администрирование B2B","Акт сверки","15.01.2022 4:22:02","нет","0","0","0","Corp MOS","14.01.2022 4:24:35","0"
"TT16931891","Закрыта","14.01.2022 4:33:24","Администрирование","Администрирование B2B","Акт сверки","15.01.2022 4:33:24","нет","2","2","2","Corp ORL","14.01.2022 4:35:53","2"
"TT16931892","Закрыта","14.01.2022 4:49:27","Администрирование","Администрирование B2B","Акт сверки","15.01.2022 4:49:27","нет","0","0","0","B2B Admin","14.01.2022 4:49:30","0"
"TT16931892","Закрыта","14.01.2022 4:49:27","Администрирование","Администрирование B2B","Акт сверки","15.01.2022 4:49:27","нет","0","0","0","Corp MOS","14.01.2022 4:51:56","0"
"TT16931893","Закрыта","14.01.2022 4:57:24","Администрирование","Администрирование B2B","Акт сверки","15.01.2022 4:57:24","нет","0","0","0","Corp MOS","14.01.2022 4:59:53","0"
"TT16931894","Закрыта","14.01.2022 5:01:43","Администрирование","Администрирование B2B","Заявка от потенциального клиента MNP","17.01.2022 5:01:43","нет","1","1","1","DS ORL","14.01.2022 5:02:09","1"
"TT16931895","Закрыта","14.01.2022 5:02:04","Администрирование","ГОЗ (corpzapros)","Запрос потенциального клиента","15.01.2022 5:02:04","нет","2","2","2","DS ORL","14.01.2022 5:04:04","2"
"TT16931896","Закрыта","14.01.2022 5:04:10","Администрирование","Администрирование B2B","Заявка потенциального клиента","15.01.2022 5:04:10","нет","2","2","2","DS ORL","14.01.2022 5:06:11","2"
"TT16931897","Закрыта","14.01.2022 5:04:28","Администрирование","ГОЗ (corpzapros)","Запрос потенциального клиента","15.01.2022 5:04:28","нет","2","2","2","DS ORL","14.01.2022 5:06:07","2"
"TT16931898","Закрыта","14.01.2022 5:05:45","Претензия","WebDealer","Прочее","17.01.2022 5:05:45","нет","1","1","1","OBO","14.01.2022 5:06:34","1"
"TT16931899","Назначена на группу","14.01.2022 5:07:11","Администрирование","Администрирование B2B","Акт сверки","15.01.2022 5:07:11","нет","","","","","",""
"TT16931900","Назначена на группу","14.01.2022 5:11:34","Администрирование","Администрирование B2B","Акт сверки","15.01.2022 5:11:34","нет","","","","","",""
"TT16931901","Назначена на группу","14.01.2022 8:31:33","Администрирование","Администрирование B2B","Акт сверки","15.01.2022 8:31:33","нет","","","","","",""
"TT16931902","Возвращена на доработку","14.01.2022 8:33:56","Администрирование","Администрирование B2B","Акт сверки","15.01.2022 8:33:56","нет","","","","","",""
"TT16931903","Закрыта","14.01.2022 8:36:46","Администрирование","Администрирование B2B","Акт сверки","15.01.2022 8:36:46","нет","0","0","0","B2B Admin","14.01.2022 8:36:50","0"
"TT16931903","Закрыта","14.01.2022 8:36:46","Администрирование","Администрирование B2B","Акт сверки","15.01.2022 8:36:46","нет","0","0","0","Corp MOS","14.01.2022 8:39:22","0"
"TT16931904","Закрыта","14.01.2022 8:42:50","Администрирование","Администрирование B2B","Акт сверки","15.01.2022 8:42:50","нет","3","3","3","Corp ORL","14.01.2022 8:45:19","3"
"TT16931905","Возвращена на доработку","14.01.2022 8:45:28","Администрирование","Администрирование B2B","Акт сверки","15.01.2022 8:45:28","нет","","","","","",""
"TT16931906","Закрыта","14.01.2022 8:48:50","Администрирование","Администрирование B2B","Акт сверки","15.01.2022 8:48:50","нет","0","0","0","Corp MOS","14.01.2022 8:51:17","0"
