"НОМЕР ЗАЯВКИ","СТАТУС","ДАТА РЕГИСТРАЦИИ","ТИП ОБРАЩЕНИЯ","СЕРВИС","КРАТКОЕ ОПИСАНИЕ ПРОБЛЕМЫ","СРОК РЕШЕНИЯ","ПРОСРОЧЕН","ОБЩЕЕ ВРЕМЯ ОБРАБОТКИ (МИН.)","МАКСИМАЛЬНОЕ ВРЕМЯ ОБРАБОТКИ ГРУППОЙ (МИН.)","МИНИМАЛЬНОЕ ВРЕМЯ ОБРАБОТКИ ГРУППОЙ (МИН.)","ГРУППА","ДАТА ПЕРЕВОДА НА ГРУППУ","ВРЕМЯ ОБРАБОТКИ ГРУППОЙ (МИН.)"
"TT16931727","В работе","03.01.2022 3:58:10","Администрирование","Администрирование B2B","Акт сверки","04.01.2022 3:58:10","нет","0","0","0","B2B Admin","03.01.2022 3:58:21","0"
"TT16931728","Назначена на группу","03.01.2022 4:00:27","Администрирование","Одобрение ЭРФ","Создание клиента","","нет","","","","","",""
"TT16931729","Закрыта","03.01.2022 4:02:04","Администрирование","Администрирование B2B","Акт сверки","04.01.2022 4:02:04","нет","1","0","0","B2B Admin","03.01.2022 4:02:08","0"
"TT16931729","Закрыта","03.01.2022 4:02:04","Администрирование","Администрирование B2B","Акт сверки","04.01.2022 4:02:04","нет","1","0","0","OBO","03.01.2022 4:05:34","0"
"TT16931729","Закрыта","03.01.2022 4:02:04","Администрирование","Администрирование B2B","Акт сверки","04.01.2022 4:02:04","нет","1","1","1","Corp MOS","03.01.2022 4:05:17","1"
"TT16931730","Закрыта","03.01.2022 4:10:18","Администрирование","Администрирование B2B","Акт сверки","04.01.2022 4:10:18","нет","2","2","2","Corp ORL","03.01.2022 4:12:46","2"
"TT16931731","Назначена на группу","03.01.2022 4:10:42","Администрирование","Одобрение ЭРФ","Создание клиента","","нет","","","","","",""
"TT16931732","Возвращена на доработку","03.01.2022 4:13:44","Администрирование","Администрирование B2B","Акт сверки","04.01.2022 4:13:44","нет","","","","","",""
"TT16931733","Закрыта","03.01.2022 4:17:05","Администрирование","Администрирование B2B","Акт сверки","04.01.2022 4:17:05","нет","0","0","0","Corp MOS","03.01.2022 4:19:32","0"
"TT16931734","Закрыта","03.01.2022 4:26:25","Администрирование","Администрирование B2B","Акт сверки","04.01.2022 4:26:25","нет","0","0","0","Corp MOS","03.01.2022 4:28:53","0"
"TT16931735","Закрыта","03.01.2022 4:37:56","Администрирование","Администрирование B2B","Акт сверки","04.01.2022 4:37:56","нет","3","3","3","Corp ORL","03.01.2022 4:40:22","3"
"TT16931736","Закрыта","03.01.2022 4:54:23","Администрирование","Администрирование B2B","Акт сверки","04.01.2022 4:54:23","нет","0","0","0","B2B Admin","03.01.2022 4:54:26","0"
"TT16931736","Закрыта","03.01.2022 4:54:23","Администрирование","Администрирование B2B","Акт сверки","04.01.2022 4:54:23","нет","0","0","0","Corp MOS","03.01.2022 4:56:52","0"
"TT16931737","Закрыта","03.01.2022 5:02:04","Администрирование","Администрирование B2B","Акт сверки","04.01.2022 5:02:04","нет","0","0","0","Corp MOS","03.01.2022 5:04:33","0"
"TT16931738","Закрыта","03.01.2022 5:08:17","Администрирование","Администрирование B2B","Заявка от потенциального клиента MNP","06.01.2022 5:08:17","нет","2","2","2","DS ORL","03.01.2022 5:10:12","2"
"TT16931739","Закрыта","03.01.2022 5:08:54","Администрирование","ГОЗ (corpzapros)","Запрос потенциального клиента","04.01.2022 5:08:54","нет","2","2","2","DS ORL","03.01.2022 5:10:09","2"
"TT16931740","Закрыта","03.01.2022 5:12:25","Администрирование","Администрирование B2B","Заявка потенциального клиента","04.01.2022 5:12:25","нет","2","2","2","DS ORL","03.01.2022 5:14:09","2"
"TT16931741","Закрыта","03.01.2022 5:12:28","Администрирование","ГОЗ (corpzapros)","Запрос потенциального клиента","04.01.2022 5:12:28","нет","2","2","2","DS ORL","03.01.2022 5:14:04","2"
"TT16931742","Закрыта","03.01.2022 5:15:26","Претензия","WebDealer","Прочее","06.01.2022 5:15:25","нет","1","1","1","OBO","03.01.2022 5:16:13","1"
"TT16931743","Закрыта","03.01.2022 5:15:28","Администрирование","Администрирование B2B","Акт сверки","04.01.2022 5:15:28","нет","0","0","0","B2B Admin","03.01.2022 5:15:31","0"
"TT16931743","Закрыта","03.01.2022 5:15:28","Администрирование","Администрирование B2B","Акт сверки","04.01.2022 5:15:28","нет","0","0","0","Corp MOS","03.01.2022 5:17:57","0"
