"НОМЕР ЗАЯВКИ","СТАТУС","ДАТА РЕГИСТРАЦИИ","ТИП ОБРАЩЕНИЯ","СЕРВИС","КРАТКОЕ ОПИСАНИЕ ПРОБЛЕМЫ","СРОК РЕШЕНИЯ","ПРОСРОЧЕН","ОБЩЕЕ ВРЕМЯ ОБРАБОТКИ (МИН.)","МАКСИМАЛЬНОЕ ВРЕМЯ ОБРАБОТКИ ГРУППОЙ (МИН.)","МИНИМАЛЬНОЕ ВРЕМЯ ОБРАБОТКИ ГРУППОЙ (МИН.)","ГРУППА","ДАТА ПЕРЕВОДА НА ГРУППУ","ВРЕМЯ ОБРАБОТКИ ГРУППОЙ (МИН.)"
"TT16931797","В работе","07.01.2022 3:58:13","Администрирование","Администрирование B2B","Акт сверки","08.01.2022 3:58:13","нет","0","0","0","B2B Admin","07.01.2022 3:58:22","0"
"TT16931798","Назначена на группу","07.01.2022 4:01:00","Администрирование","Одобрение ЭРФ","Создание клиента","","нет","","","","","",""
"TT16931799","Закрыта","07.01.2022 4:02:04","Администрирование","Администрирование B2B","Акт сверки","08.01.2022 4:02:04","нет","1","0","0","B2B Admin","07.01.2022 4:02:10","0"
"TT16931799","Закрыта","07.01.2022 4:02:04","Администрирование","Администрирование B2B","Акт сверки","08.01.2022 4:02:04","нет","1","0","0","OBO","07.01.2022 4:05:35","0"
"TT16931799","Закрыта","07.01.2022 4:02:04","Администрирование","Администрирование B2B","Акт сверки","08.01.2022 4:02:04","нет","1","1","1","Corp MOS","07.01.2022 4:05:18","1"
"TT16931800","Закрыта","07.01.2022 4:10:55","Администрирование","Администрирование B2B","Акт сверки","08.01.2022 4:10:55","нет","3","3","3","Corp ORL","07.01.2022 4:13:23","3"
"TT16931801","Назначена на группу","07.01.2022 4:12:20","Администрирование","Одобрение ЭРФ","Создание клиента","","нет","","","","","",""
"TT16931802","Возвращена на доработку","07.01.2022 4:14:18","Администрирование","Администрирование B2B","Акт сверки","08.01.2022 4:14:18","нет","","","","","",""
"TT16931803","Закрыта","07.01.2022 4:17:38","Администрирование","Администрирование B2B","Акт сверки","08.01.2022 4:17:38","нет","0","0","0","Corp MOS","07.01.2022 4:20:05","0"
"TT16931804","Закрыта","07.01.2022 4:26:45","Администрирование","Администрирование B2B","Акт сверки","08.01.2022 4:26:45","нет","0","0","0","Corp MOS","07.01.2022 4:29:13","0"
"TT16931805","Закрыта","07.01.2022 4:39:41","Администрирование","Администрирование B2B","Акт сверки","08.01.2022 4:39:41","нет","3","3","3","Corp ORL","07.01.2022 4:42:07","3"
"TT16931806","Закрыта","07.01.2022 4:55:21","Администрирование","Администрирование B2B","Акт сверки","08.01.2022 4:55:21","нет","0","0","0","B2B Admin","07.01.2022 4:55:23","0"
"TT16931806","Закрыта","07.01.2022 4:55:21","Администрирование","Администрирование B2B","Акт сверки","08.01.2022 4:55:21","нет","0","0","0","Corp MOS","07.01.2022 4:57:50","0"
"TT16931807","Закрыта","07.01.2022 5:03:04","Администрирование","Администрирование B2B","Акт сверки","08.01.2022 5:03:04","нет","0","0","0","Corp MOS","07.01.2022 5:05:33","0"
"TT16931808","Закрыта","07.01.2022 5:07:22","Администрирование","Администрирование B2B","Заявка от потенциального клиента MNP","10.01.2022 5:07:22","нет","1","1","1","DS ORL","07.01.2022 5:08:11","1"
"TT16931809","Закрыта","07.01.2022 5:07:25","Администрирование","ГОЗ (corpzapros)","Запрос потенциального клиента","08.01.2022 5:07:25","нет","1","1","1","DS ORL","07.01.2022 5:08:08","1"
"TT16931810","Закрыта","07.01.2022 5:09:12","Администрирование","Администрирование B2B","Заявка потенциального клиента","08.01.2022 5:09:12","нет","1","1","1","DS ORL","07.01.2022 5:10:12","1"
"TT16931811","Закрыта","07.01.2022 5:10:06","Администрирование","ГОЗ (corpzapros)","Запрос потенциального клиента","08.01.2022 5:10:06","нет","2","2","2","DS ORL","07.01.2022 5:12:04","2"
"TT16931812","Закрыта","07.01.2022 5:11:19","Претензия","WebDealer","Прочее","10.01.2022 5:11:19","нет","1","1","1","OBO","07.01.2022 5:12:07","1"
"TT16931813","Закрыта","07.01.2022 5:12:17","Администрирование","Администрирование B2B","Акт сверки","08.01.2022 5:12:17","нет","0","0","0","B2B Admin","07.01.2022 5:12:19","0"
"TT16931813","Закрыта","07.01.2022 5:12:17","Администрирование","Администрирование B2B","Акт сверки","08.01.2022 5:12:17","нет","0","0","0","Corp MOS","07.01.2022 5:14:45","0"
