"НОМЕР ЗАЯВКИ","СТАТУС","ДАТА РЕГИСТРАЦИИ","ТИП ОБРАЩЕНИЯ","СЕРВИС","КРАТКОЕ ОПИСАНИЕ ПРОБЛЕМЫ","СРОК РЕШЕНИЯ","ПРОСРОЧЕН","ОБЩЕЕ ВРЕМЯ ОБРАБОТКИ (МИН.)","МАКСИМАЛЬНОЕ ВРЕМЯ ОБРАБОТКИ ГРУППОЙ (МИН.)","МИНИМАЛЬНОЕ ВРЕМЯ ОБРАБОТКИ ГРУППОЙ (МИН.)","ГРУППА","ДАТА ПЕРЕВОДА НА ГРУППУ","ВРЕМЯ ОБРАБОТКИ ГРУППОЙ (МИН.)"
"TT16931831","Закрыта","11.01.2022 3:58:34","Администрирование","Администрирование B2B","Акт сверки","12.01.2022 3:58:34","нет","1","0","0","B2B Admin","11.01.2022 3:58:44","0"
"TT16931831","Закрыта","11.01.2022 3:58:34","Администрирование","Администрирование B2B","Акт сверки","12.01.2022 3:58:34","нет","1","1","1","OBO","11.01.2022 4:02:14","1"
"TT16931831","Закрыта","11.01.2022 3:58:34","Администрирование","Администрирование B2B","Акт сверки","12.01.2022 3:58:34","нет","1","0","0","Corp MOS","11.01.2022 4:01:56","0"
"TT16931832","Назначена на группу","11.01.2022 4:00:54","Администрирование","Одобрение ЭРФ","Создание клиента","","нет","","","","","",""
"TT16931833","Назначена на группу","11.01.2022 4:10:14","Администрирование","Администрирование B2B","Акт сверки","12.01.2022 4:10:14","нет","","","","","",""
"TT16931834","Назначена на группу","11.01.2022 4:11:08","Администрирование","Одобрение ЭРФ","Создание клиента","","нет","","","","","",""
"TT16931835","Закрыта","11.01.2022 4:25:10","Администрирование","Администрирование B2B","Акт сверки","12.01.2022 4:25:10","нет","0","0","0","Corp MOS","11.01.2022 4:27:45","0"
"TT16931836","Закрыта","11.01.2022 4:37:34","Администрирование","Администрирование B2B","Акт сверки","12.01.2022 4:37:34","нет","3","3","3","Corp ORL","11.01.2022 4:40:03","3"
"TT16931837","Закрыта","11.01.2022 4:53:21","Администрирование","Администрирование B2B","Акт сверки","12.01.2022 4:53:21","нет","0","0","0","B2B Admin","11.01.2022 4:53:25","0"
"TT16931837","Закрыта","11.01.2022 4:53:21","Администрирование","Администрирование B2B","Акт сверки","12.01.2022 4:53:21","нет","0","0","0","Corp MOS","11.01.2022 4:55:52","0"
"TT16931838","Закрыта","11.01.2022 5:01:04","Администрирование","Администрирование B2B","Акт сверки","12.01.2022 5:01:04","нет","0","0","0","Corp MOS","11.01.2022 5:03:34","0"
"TT16931839","Закрыта","11.01.2022 5:05:22","Администрирование","Администрирование B2B","Заявка от потенциального клиента MNP","14.01.2022 5:05:22","нет","1","1","1","DS ORL","11.01.2022 5:06:08","1"
"TT16931840","Закрыта","11.01.2022 5:05:40","Администрирование","ГОЗ (corpzapros)","Запрос потенциального клиента","12.01.2022 5:05:40","нет","1","1","1","DS ORL","11.01.2022 5:06:05","1"
"TT16931841","Закрыта","11.01.2022 5:07:21","Администрирование","Администрирование B2B","Заявка потенциального клиента","12.01.2022 5:07:21","нет","1","1","1","DS ORL","11.01.2022 5:08:06","1"
"TT16931842","Закрыта","11.01.2022 5:08:16","Администрирование","ГОЗ (corpzapros)","Запрос потенциального клиента","12.01.2022 5:08:16","нет","2","2","2","DS ORL","11.01.2022 5:10:07","2"
"TT16931843","Закрыта","11.01.2022 5:09:30","Претензия","WebDealer","Прочее","14.01.2022 5:09:30","нет","1","1","1","OBO","11.01.2022 5:10:18","1"
"TT16931844","Закрыта","11.01.2022 5:10:28","Администрирование","Администрирование B2B","Акт сверки","12.01.2022 5:10:28","нет","0","0","0","B2B Admin","11.01.2022 5:10:31","0"
"TT16931844","Закрыта","11.01.2022 5:10:28","Администрирование","Администрирование B2B","Акт сверки","12.01.2022 5:10:28","нет","0","0","0","Corp MOS","11.01.2022 5:12:58","0"
"TT16931845","Возвращена на доработку","11.01.2022 8:30:19","Администрирование","Администрирование B2B","Акт сверки","12.01.2022 8:30:19","нет","","","","","",""
"TT16931846","Закрыта","11.01.2022 8:30:19","Администрирование","Администрирование B2B","Акт сверки","12.01.2022 8:30:19","нет","2","2","2","Corp ORL","11.01.2022 8:32:53","2"
"TT16931847","Закрыта","11.01.2022 8:33:45","Администрирование","Администрирование B2B","Акт сверки","12.01.2022 8:33:45","нет","0","0","0","Corp MOS","11.01.2022 8:36:12","0"
"TT16931848","Назначена на группу","11.01.2022 11:38:40","MVNO","BERCUT_Графический интерфейс платформы для пользователей (сотрудников MVNO)","Проблемы при замене SIM","","нет","","","","","",""
"TT16931849","Назначена на группу","11.01.2022 13:59:36","MVNO","Проблема с короткими номерами","Невозможность дозвона на короткие номера","","нет","","","","","",""
"TT16931851","Закрыта","11.01.2022 16:51:16","Администрирование","ГОЗ (corpzapros)","Запрос потенциального клиента","12.01.2022 16:51:16","нет","1","1","1","DS ORL","11.01.2022 16:52:05","1"
"TT16931850","Закрыта","11.01.2022 16:51:16","Администрирование","ГОЗ (corpzapros)","Запрос потенциального клиента","12.01.2022 16:51:16","нет","1","1","1","DS ORL","11.01.2022 16:52:08","1"
